book|书
buffalos|(buffalo 的复数) n. 水牛
bihari|（印度）比哈尔语；印度比哈尔邦的居民
bigoted|盲从的, 固执己见的, 执迷的, 顽固的
behoves|<英>理应, 应该, 理所当然( behove的第三人称单数 )
brankursine|老鼠簕属植物
begging|乞讨, 乞求；行乞（beg的现在分词形式）
bluecoat|警察, 士兵
balconies|阳台( balcony的名词复数 ); （电影院等的）楼厅, 楼座
bacteriaemia|[医]菌血症
bunnia|<印英>商人, 零售商
briton|大不列颠人, 英国人
bettered|改善, 提高( better的过去式和过去分词 )
barracks|兵营, 营房；简陋的房子；警察所（barrack的复数）
biometrics|生物统计学
barostat|恒压器, [空]气压调节器
bulter|蝇绳
bouzoukia|bouzouki的复数
bardolater|[美]莎士比亚崇拜者
bulgarians|保加利亚人[语]( Bulgarian的复数形式 )
braciola|酒烩肉卷
branchings|(branching 的复数) n. 分歧
bourgeon|(=burgeon) 萌发, 发展
bigmouths|<美俚>多嘴多舌的人( bigmouth的名词复数 )
baroscopical|baroscope的变形
bolides|(bolide 的复数) n. 火流星
bowdlerised|(bowdlerise 的过去分词) vt. 删除（书刊、剧本等中）有伤风化的词语或场面
birdfarm|<美俚>航空母舰
brainwave|脑(电)波, 灵感
breadnut|面包坚果，这种树的种子
bennet|水杨梅, 花梗
bucconasal|[医] 颊鼻的
baguios|(Baguio 的复数) 碧瑶[菲律宾夏都](在吕宋岛西部)
bashing|[矿]用废矸石充填采空区；猛击, 抨击
blastochyle|[生]囊胚腔液
backstretch|<美>(跑道的)非终点直道
bushwhacker|丛林开伐者, 在丛林中开路者, 林中居民
brank|口钳
biradiated|双辐射的, 双射线的
bromobenzene|[化] 溴苯
blubbed|哭哭着说出( blub的过去式和过去分词 )
berri|(Berri)人名；(法、意、阿拉伯)贝里
brock|[动]獾；[英俚]坏蛋, 臭家伙
bestar|用星遮蔽[装饰]
bermudite|黑云沸煌岩
berime|作诗, 以诗讽刺或祝贺
blunderingly|浮躁地, 粗笨地
benson|班森（男子名）
boarwood|小球森佛尼亚
boughten|买来的
beckons|（用头或手的动作）示意, 召唤( beckon的第三人称单数 )
bsf|backscatter factor 背（向）散射因素; beta-s-fetoprotein β-S-胎蛋白; bulk shielding facilities 整体屏蔽设备（反应堆）
blunderhead|傻瓜, 笨蛋
biomorphic|生物形态的
boubous|（西非男女均可穿的）宽大长袍[西非当地语]( boubou的名词复数 )
biannually|每半年地
bivouacks|露宿( bivouac的第三人称单数 )
burnets|(burnet 的复数) n. 小地榆, 美洲地榆
baggie|垃圾袋
buyback|回购, 回买协议
bowstrung|（用弓弦）勒死, 绞死( bowstring的过去式和过去分词 )
bedehouse|养育院, 养老院
bibliopegic|bibliopegy的变形
baston|座盘, 凸圆线脚
bronchiolus|[医] 细支气管
barrelhead|桶盖
buteo|[鸟]鵟(宽翼,高翔,捕食啮齿动物)
berthed|停泊( berth的过去式和过去分词 ); 占铺位
biconvex|双凸的
birotation|[化]变旋(现象), 旋光改变(作用)
beroida|瓜水母目
boringness|boring的变形
brumby|[澳]野马
bloomingness|blooming的变形
broidery|[古, 诗]=embroidery
boasting|吹嘘, 夸耀（boast的ing形式）
blends|（使）混合( blend的第三人称单数 ); （使）混杂; （使）调和; 协调
bided|等待, 停留( bide的过去式 ); 居住; 等待; 面临
banderoles|筛绢
bloodstone|鸡血石, 血滴石
brioches|<法>奶油糕点, 奶油蛋卷( brioche的名词复数 )
barbaralalia|[医] 异国语言涩滞
bumblebees|<动>大黄蜂, 熊蜂( bumblebee的复数形式 )
bathypelagic|深海区的, 居于深海区的
baillie|(Baillie)人名；(西)拜利耶；(英)贝利
bagasse|甘蔗渣
behooves|利益, 好处( behoof的名词复数 )
beduin|贝多因人（一个居无定所的阿拉伯游牧民族）
belgrade|贝尔格莱德
bulldogs|斗牛犬( bulldog的复数形式 )
broadness|阔, 明白, 粗野
barbarously|野蛮的, 语言不规范的, 残暴的, 粗俗的
broths|肉汤( broth的复数形式 ); 厨师多了烧坏汤; 人多手杂反坏事; 人多添乱
bulbus|[医] 球, 鳞茎, 球茎
bovines|(bovine 的第三人称 -s形式) adj. 牛的；似牛的；迟钝的
benchmarked|(benchmark 的过去分词) [计] 基准程序; 基准
bubas|(buba 的复数) [医] 雅司病
belittling|使显得微小, 轻视, 贬低( belittle的现在分词 )
borers|(borer 的复数) n. 穿孔者, 钻孔器, 钻孔虫
bisetous|【生物学】具二的
barger|[姓氏]巴吉尔; [人名] 巴杰
bombycine|薄绸, 绢丝织物, 薄绸, 蚕的, 丝的
buttery|配膳室
boswell|为好友或当代名人作传者
bestrides|骑( bestride的第三人称单数 ); 高踞…之上, 横跨
blackness|黑, 黑色, 邪恶
butacaine|[化] 布他卡因
birdmen|(birdman 的复数) n. 捕鸟者, 鸟类学家, 飞行家
beadroll|名单, 一串念珠, 目录, 名册
boophilus|[医] 牛蜱属, 方头蜱属
berliner|柏林市民
barsac|(法国西南部产的)巴锡白葡萄酒
brujeria|[医]brujeria（拉丁美洲说法）
bambino|小孩, 婴孩
bletting|（果实的）软化
braidism|[医] 催眠术
basilicon|松脂石蜡软膏
bratticed|间壁；隔板；风布
belting|带料, 带类
bookable|可预定的, 可预约的, 可预购的
bradypepsia|消化徐缓
baroness|男爵夫人, 女性男爵
brutalise|使丧失人类情感, 使变残忍; 残酷对待
benzol|不纯苯, 安息油
briggs|布里格斯(人名)
briary|briar的变形
babbitted|巴氏合金( babbitt的过去式和过去分词 ); 巴氏合金轴承衬
bolometric|测辐射热的
beavered|（海狸似地）拼命工作( beaver的过去式和过去分词 ); 忙于（某事）, 勤奋工作
braxy|羊快疫
becalmed|(帆船)因无风而停止不动的
boundedness|[计] 有界性
bifistular|[医] 有两管的, 两管的
beriberic|[医] 脚气病的
bovey|(Bovey)人名；(英)博维
berger|伯杰(姓氏)
bankbooks|银行存折
bobierrite|白磷镁石
baaing|羊叫( baa的现在分词 )
billeting|给（部队）安排住处( billet的现在分词 )
bota|马靴；酒囊
bulblike|bulb的变形
burgoo|稠燕麦片糊(或粥)
beached|海滩；湖滨
butterflyer|【游泳】蝶泳运动员；游蝶泳者
barhop|从一家酒店喝到另一家
brioche|<法>奶油糕点,奶油蛋卷
begrudging|嫉妒( begrudge的现在分词 ); 勉强做; 不乐意地付出; 吝惜
bevelment|对切, 削平
bluebell|开蓝色铃状花的植物
benjy|班吉（人名）
blankety|可憎的, 毫无道理的
breadstuff|[医]制面包的原料, 面包
belock|锁闭, 锁住
bandages|绷带( bandage的名词复数 )
bulldozes|强迫（某人做某事）(-sb +into doing sth)( bulldoze的第三人称单数 ); （用推土机）推倒; 铲平; （使）强行通过
bailment|寄托, 保释
buffi|buffo的复数形
butties|(butty 的复数) n. （英）三明治；伙伴；监工
bawneen|(爱尔兰农业工人穿的)本色粗法兰绒工作服, 淡褐色粗呢
belomancy|箭卜术
barege|[纺]巴雷格纱罗(作面纱等用)
breadthways|横地
bononian|博诺阶
bhang|(印度)大麻, 大麻叶和花制成的麻醉品
babylonia|巴比伦王国
bobbinite|(矿山用)筒管[硫胺]炸药
busts|半身雕塑像( bust的名词复数 ); 妇女的胸部; 胸围; 突击搜捕
biodynamics|生物动力学
booming|急速发展的
bitartrate|[化]酒石酸氢盐,酸式酒石酸盐
biquadratic|四乘幂的, 双二次的
bruteness|brute的变形
biotite|黑云母
beys|(bey 的复数) n.(奥斯曼帝国,土尔其较小地区的)州长,土耳其对要人的尊称
briefings|简令( briefing的复数形式 ); 简要指示; 详细指示; 作战指示
bbl|桶
bitterer|寒冷的,苦的,刺骨的,严酷地,剧烈地(比较级)
blenniidae|鳚科
brent|[经] 布兰特油田
besottedness|besot的变形
brandishing|挥舞( brandish的现在分词 ); 炫耀
blending|混合, 混合物, 混成
bookbindery|装订所, 装钉厂
bookie|登记赌注者
barons|男爵( baron的复数形式 ); 巨头; 大王; 大亨
blithers|瞎谈（blither的第三人称单数形式）
brigands|土匪, 强盗( brigand的复数形式 )
bloodleaf|[网络] 洋苋菜
balling|[化] 成球
bootlegger|造私酒者, 走私者, 走私犯
burglarized|<美>闯入…盗窃( burglarize的过去式和过去分词 ); 破门盗窃
bawcock|好人
brainpower|智能, 智囊
buttstrap|对接搭板, 平接盖板
butylate|[化]把丁基引进( 化合物) , 使丁化
belgic|Belgae 人的,荷兰或比利时的
bromin|溴[非金属元素]
bridgeheads|桥塔, 桥头堡( bridgehead的复数形式 )
brambly|荆棘多的, 有刺的
belgard|(Belgard)人名；(德、俄)贝尔加德
berith|[网络] 比利土；贝列；比利多
brinjaul|茄子
bullnose|艏导缆钳
banging|消音器内爆炸
bushbuck|南非羚羊
brachinus|[网络] 射炮步甲
bonser|[人名] [英格兰人姓氏] 帮瑟绰号，来源于古法语，含义是“好先生”(good sir)
boondocker|(=combat boot)[美俚]野战军靴
brawniness|肌肉结实, 顽强
badmash|恶汉, 歹徒
battlemented|有城垛的
borrowing|[经] 借款, 贷款
brashness|自以为是, 莽撞无礼
braggadocios|自夸, 吹牛大王( braggadocio的名词复数 )
beveller|研磨仪；磨石板机
butylamine|[化] 丁胺
bluets|开蓝花的植物, 矢车菊( bluet的名词复数 )
braces|背带
bystander|旁观者, 目击者
barylite|硅钡铍石
backcountry|偏僻地区；边远地区；穷乡僻壤
biriani|印度比尔亚尼菜
beachhead|滩头堡
banff|班芙（英国苏格兰东北部一座港市）
bronchoscopy|[医]支气管镜检(查)
baline|棉经马鬃纬衬里
bibbler|起泡器
bechamel|贝夏梅尔调味白汁
bowhead|北极露脊鲸
breezily|吹微风地, 活泼地, 轻松地
blackmailer|勒索者, 敲诈者
bisexualism|雌雄异体
basipodite|基节, 底肢节
bulbar|球茎的
barometrical|气压计的, 测定气压的
butanol|[化]丁醇
babushka|头巾
baronne|<法>n.= baroness
biodegrading|生物递降分解( biodegrade的现在分词 )
bachelordom|独身, 独身身份
bazars|（东方国家的）市场( bazar的名词复数 )；街市；（出售花哨商品等的）小商品市场；百货商店
bedaubs|用（涂料等）涂抹, 花哨地装饰( bedaub的第三人称单数 )
bini|比尼人
blunter|率直的( blunt的比较级 ); 直言不讳的; 钝的; 生硬的
bigonial|[医] [连结]二颌角点的
bushland|未开垦森林地带
biconjugate|重对的, 双共扼的, 双对的
bindable|可绑定的（bind的变体）
bracked|(brack 的过去时) n. 分等, 挑选；（爱尔兰）果子面包
breathy|带呼吸声的
bamboozler|bamboozle的变形
bloodmobile|巡回采血车
beroe|[网络] 瓜水母；贝罗拟鮟鱇；比路尔
budgeting|[计] 预定, 预算
bradykinesia|[医]运动徐缓
bedmaker|寝室清洁工, 制床的家具匠
bankrolling|提供资金( bankroll的现在分词 )
bomarea|[网络] 抱马；竹叶百合属
biaural|有两耳的, 两耳用的, [声]双耳声的
brachyskelic|[医] 短腿的
bibliomaniac|有藏书癖的, 藏书狂的
beltway|<美>(环绕城市或某一地区的)环路,环形公路
bicapsular|[植]两蒴的
britzska|四轮敞篷马车
bypassed|绕过, 避开( bypass的过去式和过去分词 ); 不顾
blankbook|空白账簿, 未登录账簿
berobed|穿袍的
bitterweed|含有苦素的植物(如豚草等)
benthal|海底, 水底
billtong|(在南非洲)干咸肉条
bombed|遭到轰炸的；[美俚]醉的；被毒品麻醉了的
bureaucratic|官僚的
blastemic|[医] 胚基的, 芽基的
biostrome|[地]生物层
barrators|诉讼教唆犯；买卖圣职或官位者
betterly|更好地
buttoning|圆钮定位法
braziers|火盆, 黄铜匠( brazier的复数形式 )
bigamists|重婚者( bigamist的复数形式 )
birk|比尔克（姓氏）
brachylogy|简明, 省略语
beanbag|豆子袋(儿童投掷游戏用)
braceros|(bracero 的复数) n.<美>(合法入境干农活的) 墨西哥短期合同工
brainteaser|难题, 谜
bedposts|（四帷柱床的）床柱( bedpost的复数形式 )
biffin|红苹果
blabbing|瞎说乱讲, 泄露秘密( blab的现在分词 ); 泄漏（秘密）
brittlely|易碎地(brittle的副词形式)
blackens|（使）变黑, 把…弄黑( blacken的第三人称单数 ); 发暗; 败坏（名誉等）, 诋毁
brawled|打架, 争吵( brawl的过去式和过去分词 )
bluetick|蓝色快狗
banda|茅屋；班达（墨西哥舞曲）
bagginess|膨胀状
breastless|breast的变形
bucked|高兴的, 快乐的；疲倦的, 累的
brooklet|细流, 小河
batata|甘薯,白薯,山芋
brahman|婆罗门之一员
behemoth|庞然大物
buggers|同性恋者, 鸡奸者, 兽奸者( bugger的名词复数 )
boatyards|(boatyard 的复数) n. 船坞；造船厂
bedevil|使痛苦, 使苦恼, 虐待
breathes|呼吸( breathe的第三人称单数 ); 轻声说话; 低语; 低声说
burseed|(=stickseed)[植]鹤虱属物
buzzers|<口>门铃( buzzer的复数形式 ); 蜂音器（的声音）; 发嗡嗡声的东西或人; 汽笛
brindle|斑, 斑纹
boskiness|bosky的变形
blasted|枯萎的, 被破坏的, 被咒的
bipartizan|由两党(或两派)代表组成的；代表两党(或两派)的, 两党的, 两派的
birthing|和生育有关的；在分娩过程中使用的
bathymetric|深测法的
buffooneries|撒科打诨；插科打诨
bedaubing|用（涂料等）涂抹, 花哨地装饰( bedaub的现在分词 )
bosky|矮林丛生的, 有丛林的, 有树荫的
booked|记载入册的, 登记了的
bixaceae|[医] 红木科, 胭脂树科
bharal|岩羊, 崖羊(产于喜马拉雅山区)
begrimes|积垢, 弄脏（begrime的第三人称单数形式）
balsamic|香膏质的, 如香油的, 镇静的
bocardo|(Bocardo)人名；(西)博卡尔多
bisectional|bisection的变形
baloney|胡扯, 大红肠
berbamine|[化] 小檗胺
bosses|老板( boss的名词复数 ); 经理; 上司; 工头
bullboat|牛皮浅水船
byway|旁道, 偏僻小路
brutify|(使)具兽性, 使残酷
borehole|地上凿洞
botanized|研究植物, 采集植物( botanize的过去式和过去分词 )
breastbone|胸骨
bioactivity|生物活性,生物活度( 指杀虫剂等对生物体的影响)
bloodied|血污的( bloody的过去式和过去分词 ); 流血的; 屠杀的; 残忍的
bisayan|(菲律宾)米沙鄢群岛(的)
blancher|热烫机, 烫漂器
bayamo|(古巴)一种强风(由内陆山区所吹来的)
boomage|护舷费
benefices|圣俸；有俸圣职；僧侣之禄
blacktops|柏油路；沥青质原料
beguilement|欺骗, 欺瞒, 轻松地消磨(时间)
beamer|投影机, 整经机
bacula|baculum的复数
blandisher|blandish的变形
barmen|巴门(联邦德国城市)
boce|Board of Customs and Excise <美国>关税和国内税务局
bursts|爆炸( burst的第三人称单数 ); 突然发作; 突然打开; 挤满
bookstack|书架
bromometry|定溴量法, 溴滴定
bemas|高座, 讲坛( bema的名词复数 )
blandish|谄媚, 奉承, 讨好
braconid|小茧蜂
baned|灾星；祸根；烦人的事；使某人的生活不快（或不幸）的原因
broadening|增宽
blackie|黑人
beaconage|信号系统, 负责保养信号系统的机构
betrayers|(betrayer 的复数) n. 叛徒, 叛国贼
bonsoir|int. （法）晚安；晚上好
batterer|虐妻者; 虐待家属者
brassily|厚脸皮地
blusterers|(blusterer 的复数) n. 咆哮的人, 吓唬人的人
braced|撑牢的；拉牢的；支撑的
bogeying|(bogey 的现在分词) n. 妖怪, 可怕的人(物)
ballyhooing|（为…）大吹大擂( ballyhoo的现在分词 )
blackener|给物品上黑色的工人
berkshire|巴克夏猪
blasthole|炮眼
benefactions|(benefaction 的复数) n. 善行, 施惠助人, 捐赠
banalities|(banality 的复数) n. 平凡, 陈腐
bijouterie|<法>[总称]珠宝首饰
birders|(birder 的复数) n.猎鸟者
bunsenite|绿镍矿
blackwood|黑檀
bedchamber|卧房, 卧室, 寝室
blowfish|河豚
bove|波夫（姓氏）
bocca|小锥体
breakaxe|[网络] 突击队
bestill|使静, 使镇定
brilliantine|生发油, (棉毛交织的)亮光薄呢
blackballing|投票反对, 排斥( blackball的现在分词 )
bromeliaceae|凤梨科
battalions|（陆军的）一营（大约有一千兵士）( battalion的复数形式 ); 协同作战的部队; 军队; （组织在一起工作的）队伍
bespeaks|预定( bespeak的第三人称单数 ); 订（货）; 证明; 预先请求
boulevards|大街, 林阴大道( boulevard的复数形式 )
bisectrix|等分角线
bulldozers|推土机( bulldozer的复数形式 ); 恐吓者, 威胁者
barbate|有须的, 有芒的
bedrench|使湿透
bangtail|<美俚>赛马用的马
battiness|batty的变形
bisulphate|[化]重硫酸盐
benzazide|苯甲酰叠氮
blowball|絮球
browsed|吃草( browse的过去式和过去分词 ); 随意翻阅; （在商店里）随便看看; （在计算机上）浏览信息
benzazole|吲哚, 氮茚
braids|发辫( braid的名词复数 ); 辫子; 穗带; 辫带
blechnum|乌毛蕨属
buffoonish|buffoon的变形
bowled|参加保龄球赛（bowl的过去式与过去分词形式）
brahmoism|新印度教
branched|分枝的；枝状的；有枝的
biosociology|生物社会学
brassavola|[网络] 白拉索兰；白拉索兰属；白拉索属
beachfront|海滨地区
boscage|丛林, 草丛
bookrest|阅书架
billposting|广告(或通告)张贴
blockaded|实行封锁( blockade的过去式 ); 阻塞, 挡住
brushback|[棒](投手为迫使击球员退离本垒投出的)头侧球
beastings|(=beestings)(母牛生产后的)初乳
bangup|<俚>把(牢房)锁上,把…关押起来
bringer|带来...的人；提供者
brooked|容忍, 忍受（brook的过去式与过去分词形式）
bloodlines|（动物的）血统, 血族( bloodline的复数形式 )
brutifying|,vi. brutify的变形
blurring|[计] 模糊, 混乱, 斑点多
beastliness|兽性, 酩酊大醉, 贪食, 粗鲁, 淫猥, 残暴
bottoming|[计] 浓度饱和
buenos|(Buenos)人名；(西)布埃诺斯
bequeathing|将…遗赠给( bequeath的现在分词 ); 将（知识等）传给（后人）
brahmana|婆罗门（印度最高的种姓，等于Brahman）；梵书（印度教经典《吠陀》的一部分）
bolthole|能躲避危险的地方
bleakly|风吹雨打地；荒凉地；阴郁地
brassbound|包黄铜的; 顽固保守
belugas|(beluga 的复数) n. 大白鳇, 白鲸
bestreak|加以条纹
begild|[网络] 开始
brashy|易碎的, 阵雨的, 脆的
bioelectric|生物电的
bradenhead|填料函式套管头
barhopping|从这家酒店喝到那家( barhop的现在分词 )
bettering|改善, 提高( better的现在分词 )
brandying|把…在白兰地酒中浸泡（brandy的现在分词形式）
batis|(Batis)人名；(法)巴蒂
byssinosis|绵纤维吸入性肺炎
basidiospore|[植]担子孢子
borning|(born 的现在分词) a. 天生的
betise|<法>愚蠢, 愚行
bioassayed|给…作生物测定, 给…作生物鉴定( bioassay的过去式和过去分词 )
beaky|像鸟嘴的
ballute|气球降落伞
bustiest|大胸脯的, 胸部丰满的 (busty的变形)
brewage|酿制饮料, 酿造
baronies|男爵爵位或领地( barony的名词复数 )
bela|[医] 印度枸桔(芸香科)
bortsch|罗宋汤(俄罗斯甜菜浓汤)
bevvy|饮料（尤指含酒精饮料）
blacking|黑色鞋油, 黑色涂料
balteus|古罗马人的腰带[肩带]
bigeminate|成对的, 二联的
bong|锣, 大钟等的当当声
braillist|专长(或擅长)点写布莱叶盲字者；以点写布莱叶盲字为业者
besmears|涂抹（besmear的第三人称单数形式）
badmouthed|说坏话
barres|(barre 的复数) n. 扶手杠（装在舞蹈演员练功房内墙上）；（箱包的）横档
bionic|超越人力的(速度/力量)
beck|点头示意, 招手, 小河
biweeklies|两周一次地（的）( biweekly的名词复数 )；两周一次地（的）
bogle|妖怪, 可怕的人(物)
balestra|击剑时冲刺后朝对方的一跃
blowfishes|河豚, 黄麻鲈( blowfish的名词复数 )
blindness|盲目, 失明, 愚昧
braider|编穗带的人, 缝辫机, 穗带制作机
bewaring|当心（beware的现在分词形式）
bridoon|小辔头
befools|愚弄
buba|[医] 雅司病
balds|adj. 秃顶的；光秃的；单调的；无装饰的
bilharzial|[医] 裂体吸虫的, 血吸虫的
ballonets|升降气袋；小气囊
britons|英国人( Briton的复数形式 )
bolstered|支持( bolster的过去式和过去分词 ); 支撑; 给予必要的支持; 援助
brokage|代理人(中间人)业务,经纪业,付给经纪人的手续费
brownout|部分灯火管制, 部分停电
boh|interj. 嘘
baa|羊叫声
betterment|改进, 改善, (不动产)增值
bollards|（行人安全岛的）短柱, 护柱( bollard的复数形式 ); （船上或码头上的）系船柱
bathetically|bathetic的变形
bireme|双排桨快艇(古地中海上一种海船)
bisontine|bison的变形
bismuthyl|氧铋基
burgesses|(burgess 的复数) n. (自治市的)市民, 自由民
bicycling|[计] 联播
beechy|山毛榉甚多的, 山毛榉的
birthmark|胎记, 胎痣
brigandism|土匪行为, 掠夺
breakers|爆烈人（一款街机游戏的名称）；碎浪区；碎浪
braking|制动系统；刹车；制动（brake的现在分词）
battlements|雉堞, 城垛
bucrane|(象牛的头盖骨的)雕刻装饰品
boschvark|[动]南非野猪
banksia|[植]拔克西木属
beavering|（海狸似地）拼命工作( beaver的现在分词 ); 忙于（某事）, 勤奋工作
bricken|[人名] 布里肯
brows|眉毛（brow的复数）
batons|（警察武器）警棍( baton的复数形式 ); （乐队指挥用的）指挥棒; 接力棒
befouled|弄臭( befoul的过去式和过去分词 ); 弄脏; 使堕落; 败坏
bimotored|双马达的
binucleolate|(细胞)双核仁的
bistoury|手术刀
bacterioidal|[网络] 杀菌
breakfasts|早餐, 早饭( breakfast的名词复数 )
bandannas|印花大手帕( bandanna的复数形式 )
buffering|[计] 缓冲, 隔离
bioseston|生物浮游物, 微生浮游物, 浮游微小生物
bunds|(bund 的复数) (政治上的)同盟, 联盟
bumelia|[网络] 鲍米亚
borolanite|霞榴正长岩
bibbs|[人名] 比布斯
bemoaner|bemoan的变形
bulkiness|庞大, 笨大
bergaptene|[化] 佛手内酯
bullocks|阉牛, 一岁半以下的小公牛( bullock的复数形式 )
bathysphere|深海球形潜水器
brachium|肱, 上臂
belady|[计] 贝莱迪
boarhound|用以猎野猪的大猎狗
blurred|模糊不清的；被弄污的
beerier|(beery 的比较级) a. 啤酒的, 象啤酒的, 喝啤酒喝醉的
backyard|后院, 后庭
backway|后退距离
bedighted|装扮好的, 装饰好的( bedight的过去式和过去分词 )
birn|(Birn)人名；(英)伯恩；(德、俄、芬)比尔恩
bipropellant|& adj.二元推进剂(的),二元燃料(的)
bullseye|靶眼；圆心；牛眼灯
boogie|(随着摇摆舞音乐节奏)摆动身体, [蔑]黑人
blackguardly|流氓的, 粗鄙的
bocci|意大利式草地滚木球戏
bab|巴布（女子名, 等于Barbara）
barbone|水牛(出血性)败血病, 长须病
biotoxin|生体毒素
bridged|在…建桥( bridge的过去式和过去分词 )
babu|<印> 相当于Mr或Sir的称谓
bruno|布鲁诺（男子名）
beadswoman|救济院受施之女人, 祈求冥福之女人
bronchia|[解]支气管
bashkir|巴什基尔语；巴什卡尔文
bondswoman|[法律]女保人, 女保证人, 女保释人
barathrum|(pl. -thra)无底洞, 深渊
busing|以公共汽车接送
biotech|生物技术
bottlebrush|洗瓶刷, 天花菜类
ballistae|（发射石块的）古代武器 (ballista的变形)
blam|(Blam)人名；(罗、塞)布拉姆
blunts|把…弄钝, 减弱( blunt的第三人称单数 )
byzant|银币饰
biclavate|[医] 两端成棒状的
blennogenic|[医] 生粘液的
biocatalytic|生物催化的（生物学术语）
bonduc|[植]加拿大皂荚, 印度云实, 大托叶云实
bedye|[机] 著色, 施彩色, 染(色)
bowditch|鲍迪奇（姓氏）
bewailed|因（某事物）而悲愁, 悲哀( bewail的过去式和过去分词 )
buccinidae|[无脊椎] 蛾螺科
budwood|接穗
brinjal|[医]茄子
buddles|(buddle 的第三人称 -s形式) [矿]n.淘汰盘,洗矿槽
blarneyed|, vi. blarney的变形
brawler|争吵者, 喧闹者
bivium|[动]二道体区
burnup|燃耗
bacchic|狂饮的, 闹宴的, 酒神的
bookmobile|车上图书馆, 流动图书馆
bleacher|漂白业者, 漂白剂, 露天看台
backsliding|倒退；滑坡；故态复萌（backslide的现在分词）
buret|滴定管, 玻璃量管
blader|平路机, 推土机
begirds|围绕, 缚, 以带子缠绕（begird的第三人称单数形式）
bulkage|大体积物质
biophysical|[医]生物物理学的
bodywork|车身
brewhouse|酿酒厂,啤酒厂
blubbering|[机] 提取鲸脂
bronchiloquy|支气管语音
bide|等候, 住, 忍耐, 等待
blinky|[美国方言](牛奶)酸的
balinger|bale的变形
beeman|(Beeman)人名；(英)比曼
bodhisat|[宗]菩萨
bespectacled|戴眼镜的
butterscotch|奶油糖果
bolthead|螺钉的头, 长颈烧瓶, （枪）机头
bridling|给…套龙头( bridle的现在分词 ); 控制; 昂首表示轻蔑（或怨忿等）; 动怒, 生气
behen|[医] 贝昂(俗名,一般指辣木Moringa oleifera,有时也指一些不同属的植物)
bude|(Bude)人名；(德、罗、塞)布德
bemaul|严重打伤
bemedalled|挂着勋章的
bellyband|腹带
beery|啤酒的, 象啤酒的, 喝啤酒喝醉的
blimpish|高傲无知又极端保守的；（英国报章漫画人物）毕灵普上校式的
baccated|【植物学】；浆果似的, 浆果状的
bursarial|财务主管的
blinders|马眼罩
barognosis|重觉辨识力, 压觉, 辨重能
benzalazine|苄连氮, 亚苄基吖嗪
biggonet|[苏]亚麻布制妇女便帽(压发帽)
bogy|妖怪, 可怕的人(物)
brubru|[气]布鲁布鲁飑(印尼的一种飑)
balmiest|芳香的；温和的；止痛的 (balmy的变形)
blennorrhoea|脓性粘液溢
benzophenone|[化]苯甲酮
bloodstock|纯种马
blissfully|幸福地, 充满喜悦地
beheading|[法] 斩首
blastocoelic|[医]囊胚腔的
bordered|有边的
bestrid|bestride的过去分词
boniness|多骨, 骨瘦如柴,憔悴
barer|光秃秃的( bare的比较级 ); （房间、柜子等） 空的; 赤裸的; 刚好够的
brines|卤水( brine的第三人称单数 ); 浓盐水; 海; 海水
burghs|(burgh 的复数) n. 自治市
bilimbi|黄瓜树, 三捻树果; 三敛
batfowler|batfowl的变形
bioxide|二氧化物
baldaquin|华盖, 龛室
blowpipe|吹气管
bookmen|饱学之士( bookman的名词复数 ); 学者; 文人; <俗>出版商
bable|通天塔（等于巴别塔）
basidiophore|[医] 担子柄(菌)
bedbugs|臭虫, 木虱, 床虱( bedbug的复数形式 )
bricky|砖的
bechanced|使发生, 产生( bechance的过去式和过去分词 )
branchiae|鳃; 鳃( branchia的名词复数 )
brownest|褐色的, 棕色的, 咖啡色的, 赭色的；皮肤(晒得)黝黑的, 皮肤给晒黑了的；肤色深的
bewhiskered|有髯的, 陈旧的
bryological|bryology的变形
brotherless|无弟兄的
breeziness|微风的轻吹, 活泼
besetment|(被)包围, 烦恼, 烦心事, (被)困扰, (被)围攻
blew|blow的过去式和过去分词
bigamously|犯重婚罪地, 卷入重婚
barebone|[人名] 贝邦
benzine|轻质汽油
buybacks|回购（buyback的复数）
battue|<法>用驱赶方法狩猎,大量捕杀,大屠杀
bino|[西](=beno)(菲律宾的)棕榈烧酒
bodement|预兆
bailout|跳伞
bronchioles|(bronchiole 的复数) n. 细支气管
benzanthrone|苯并蒽酮
bibation|饮
browned|褐色的, 棕色的, 咖啡色的, 赭色的；皮肤(晒得)黝黑的, 皮肤给晒黑了的；肤色深的
bullate|起水泡的, 肿胀的
bucketed|用桶装, 用桶运（bucket的过去式与过去分词形式）
brob|钩头钉, 弯头道钉
bivittate|[动]具一对纵条纹的
blatter|滔滔不绝地说
bulls|公牛队（美国篮球队名）；布尔斯（地名）
bandoline|发胶
barbarity|残暴的行为, 残忍, 粗鄙
bronchostomy|[医] 支气管造口术
bearding|类似胡须的生长物
bedamn|[网络] 骂
bedel|[法] 庭丁, 执达员, 下级工作人员
baster|用脂油润肉者, 烤肉时淋脂油的管子
bartramia|[网络] 珠藓属；珠苔属
backrest|靠背
bayed|（尤指猎犬等）吠, 叫, 咆哮（bay的过去式与过去分词形式）
bonkers|发疯
baratheas|(barathea 的复数) n.巴拉西厄(一种用丝或毛织成之绸或呢)
bdellotomy|[医] 切蛭吸血法
barly|(Barly)人名；(法)巴利
bispinose|具两刺的
balagan|[网络] 巴拉甘
brandle|(Brandle)人名；(德)布兰德勒
