sun|太阳
sterilizes|消毒者, 消毒器( sterilize的名词复数 )
sluit|<南非>(大雨冲成的)深沟
snivel|流鼻涕, 哭泣
sulcate|有沟的, 有槽的
spermous|[生]精液的,精子的,精液状的,似精子的
safranin|盐基性红色染料, 番红精
sclerosal|[医] 硬的, 硬化的
spermoblast|精子细胞
sleepcoat|(长及膝盖、腰间束带的)男睡衣
stam|斯塔姆（男子名）；敌稗（除草剂）
shrugs|耸肩（以表示冷淡, 怀疑等）( shrug的名词复数 )
saltatory|跳跃的, 舞蹈的, 突变的, 跃进的
skivvies|<美><非正>男用内衣（尤指汗衫和衬裤）; 女佣人, 女仆, 内衣( skivvy的复数形式 )
skippers|船长( skipper的名词复数 ); 队长; 机长
synthetical|综合的, 合成的
soln|solution 解决, 解决办法
sulphonium|[化]锍
seatbelt|座位安全带
slouch|没精打采的样子, 耷拉, 笨人
swelling|肿胀, 肿大, 隆起部, 身上的肿胀处, 膨胀, 增大
sauropoda|蜥脚类
stript|<罕>strip 的过去式和过去分词
serpens|巨蛇座
semiovoid|半卵形的
statelier|庄严的
scraunch|[网络] 吱吱声
scelalgia|小腿痛
scuppering|破坏, 毁坏( scupper的现在分词 )
sleeky|光滑的
sequenced|使按顺序排列, 安排顺序（sequence的过去式与过去分词形式）
subpoenaing|<律>（用传票）传唤（某人）( subpoena的现在分词 )
stipulating|（尤指在协议或建议中）规定, 约定, 讲明（条件等）( stipulate的现在分词 ); 规定, 明确要求
sultrily|闷热地, 酷热地, 狂暴地
sergeancy|军士职衔
sauter|[人名] [英格兰人姓氏] 索特 Salter的变体
saunders|[医] 檀木, 檀香
symbiote|[医] 共生生物
surrealist|超现实主义者
spicery|香料, 药料, 调味品, 芳香
synergies|协同, 配合, 企业合并后的协力优势或协合作用( synergy的复数形式 )
shrimpfish|虾鱼；玻甲鱼
sereno|[人名] 塞雷诺; [地名] [哥斯达黎加] 塞雷诺
souvlaki|<希> n.= shish kebab
scrubber|[化] 涤气器; 洗涤器; 洗涤塔; 擦洗粉
sensualize|使耽于酒色
scorpioidal|[医]蝎尾状的
sacramentary|圣事的, 圣礼的; 圣餐的; 神圣的
sniffier|嗤之以鼻的, 自命不凡的( sniffy的比较级 )
subcutaneous|皮下的, 皮下用的
steepening|（使）变得陡峭( steepen的现在分词 )
steadies|使稳( steady的第三人称单数 ); 使平稳; 稳住; 恢复平稳
salival|saliva的变形
sands|沙滩；沙漠；含油砂岩地层（sand复数）
spinner|纺纱工人, 旋床工人, 纺纱机, 机头罩, 旋转动作, (美)(非正式)卡车司机
scenarize|把...编成剧本
spans|跨度( span的名词复数 ); 持续时间; 一段时间; （五指张开时的）指距
snowshoed|雪鞋( snowshoe的过去式和过去分词 )
strainometer|应变计, 张力计, 伸长计
sparklingly|闪烁地;灿烂地
subsidizing|给…津贴或补贴, 资助或补助…( subsidize的现在分词 )
secundine|[植]内珠被
supercilium|眉纹, 眉(毛)
speos|[考古]古埃及的洞穴庙宇(或坟墓)
storability|[计] 可存储性
skimmer|撇去浮沫的器具, 浏览者, 蛤, 蜻, 剪嘴鸥
spheroidize|球化(处理), 延期热处理
spermolysis|[医] 精子溶解
subaltern|部下, 中尉
simulium|[医] 蚋属
slant|倾斜, 斜面, 观点, 偏见, 歪曲
sial|[地]硅铝带,硅铝层
scrambled|密码形式；扰频
smutched|弄脏
spondee|扬扬格
schoolmaid|<古>=schoolgirl
soundproofs|隔音的( soundproof的名词复数 ); 给（房屋等）装以隔音设备, 使隔音
scarabee|蜣螂线
swimmily|swimmy的变形
spacewalking|太空漫步
skye|匐犬（一种猎狐犬）；斯凯岛（苏格兰西部的岛）
staled|变陈旧（stale的过去式与过去分词形式）
sciagraphy|X射线照相术, 投影法
stenton|联络小巷; 小平巷
stomacher|兜包
swad|<俚>一群,一束,一簇
siderite|菱铁矿, 陨铁
sliding|滑行的, 变化的
straitly|狭窄地, 严格地
sarcitis|[医] 肌炎
squalidity|脏污, 污秽, 肮脏
substituent|取代基, 代替物
succous|体液的, 汁的,液的
statcoulomb|静电库仑; 静电库仑
salten|[医]水杨酰胺片剂<消炎镇痛药>; [地名] [丹麦] 萨尔滕
sideswiper|[电] 边扫帚
supervened|接着发生, 被附加( supervene的过去式和过去分词 )
silverleaf|[人名] 西尔弗利夫
specifiers|(specifier 的复数) n. 说明符；指示语；区分符
seacraft|海轮, 航海术
skiddy|滑的
seri|[地名] [巴基斯坦、尼泊尔] 塞里
saree|莎丽服
shicer|骗子, 不择手段的人
supercarrier|超级航空母舰
stickman|<俚>赌场筹码管理人, 曲棍球手
sluttishly|sluttish的变形
steepgrass|捕虫堇
steeler|钢, 钢铁；钢制品
skeptics|疑论者, 怀疑主义者（skeptic的复数形式）
sarcosoma|珊瑚虫的肉质部分
supertrain|超级列车；高速火车
sahlite|次透辉石
silvical|造林学的, 森林生态学的
softback|平装书, 纸面书
supramaximal|[生理]超大的, 最大度以上的
signatory|协议的签署者, 签约国
surmisable|可以推测的, 可猜测的
sags|向下凹或中间下陷( sag的第三人称单数 ); 松弛或不整齐地悬着
sippet|浸在肉汁里的一小块烤面包, 浸在肉汤里的一小块烤面包, 小片
syphoning|用虹吸管吸上来( syphon的现在分词 ); 通过虹吸管吸
swiple|(连枷上的)打禾棍,连枷头
solitaries|(solitary 的复数) n. 独居者
sardachate|肉红玉髓
swordbill|刀嘴蜂鸟
starred|用星装饰的, 用星号标明的, 受命运支配的, 担任主角的
sheugh|<苏格兰>沟,犁沟, 沟渠, 溪谷
sarking|[建]衬垫层, 衬板, 亚麻衬衫布
sefton|(Sefton)人名；(英、瑞典)塞夫顿
seccotine|强力胶的一种
sexangular|六角的, 六边的
speakerphone|扬声电话
surpluses|剩余额（surplus的复数形式）
shoat|小猪
showrooms|（商品样品的）陈列室( showroom的复数形式 )
silkscreened|(silkscreen 的过去分词) n.丝网印刷,丝网印刷品
soboles|【植物学】根出条
sarson|[印]野油菜
stertorously|stertorous的变形
sclerogenous|[医]致硬化的(亦作sclerogenic)
subhyoid|[医] 舌骨下的
sheerly|全然地, 完全地
spermist|[医] 精源论者
sot|醉鬼, 酗酒者
skived|<英, 非正>旷工( skive的过去式和过去分词 ); 旷课; 逃学
sanjak|(土耳其的省之下的行政区划)区
septenary|七的, 每七年一次的, 为期七年的
santalum|[医] 檀香, 檀木
saic|爱琴海双桅纵帆船
samiresite|铅铌钛铀矿
strongpoint|据点, 长处
shucking|剥壳, 剥外皮, 脱去( shuck的现在分词 ); 去壳
strepitoso|& adj.吵闹的(地)
silexite|英石岩, 燧石岩
syphilous|[医]梅毒的, 感染梅毒的
subsegments|(subsegment 的复数) [计] 子段
sula|[地名] [挪威] 叙拉; [地名] [挪威] 叙拉岛; [地名] [洪都拉斯、美国] 苏拉; [地名] [白俄罗斯、俄罗斯、乌克兰] 苏拉河
sightsee|游览；观光
staunchly|坚定地；忠实地
symmetrized|使相称, 使对称, 使均衡( symmetrize的过去式和过去分词 )
summarizer|摘录者,文摘员
strumous|甲状腺肿的, 腺病的
semisavage|半野蛮的
scopola|莨菪
shrewdly|精明干练地；机灵地；刁钻地
semiadherent|半着生的
scoters|(scoter 的复数) n. 黑海番鸭
scilicet|亦即, 换句话说
sporangium|孢子囊
stealthful|stealth的变形
spaceflights|(spaceflight 的复数) n. 外层空间飞行
shortclothes|(小儿用)短裤
snowcap|山顶积雪
sidelights|侧面射进来的光线( sidelight的复数形式 ); 侧灯; 舷灯; 拾零
soliped|单蹄的
sterigma|[医] 担子柄; 叶座(种子植物)
sollicker|<澳俚>极大的东西
sitka|锡特卡（美国一城镇）；北美云杉
syndicalist|工团主义者
semirural|半农村的, 半农业的
swivelling|（使）旋转( swivel的现在分词 ); 在枢轴上转动; （把身子或脸等）转向另一方; 转身
savers|拯救者( saver的复数形式 ); 储蓄者; 救星; 救球的运动员
severed|隔断的；切断的
sps|[计] 字符串处理系统
seak|(Seak)人名；(柬)谢
scrum|(橄榄球中)扭夺, 并列争球
stylishly|时髦地, 新式地
scapulare|鸟的肩区
swart|有害的, 恶性的, 恶毒的
stratified|分层的；形成阶层的；分为不同等级的
seastrand|海岸, 海滨
satureia|[网络] 香薄荷；风轮菜属
scornfulness|轻蔑;侮辱
synechotomy|[医] 虹膜粘连切开术, 粘连分离术
spanemia|[医] 贫血
sumo|（日）相扑
spiss|spissus (Latin=dried) （拉丁语）干燥的
soliloquist|独语者
sportswear|运动装, 休闲服
scrounging|乞讨, 骗取( scrounge的现在分词 )
shinney|[体]儿童的非正式曲棍球赛
stator|定子, 固定片
subcosta|亚前缘脉
spasmolytic|解痉的
skydived|跳伞运动员在降落伞张开前做空中造型动作( skydive的过去式和过去分词 )
solos|独奏曲, 独唱, 独奏, 独唱曲, 单独表演, 单飞, 单人纸牌戏
shakiest|摇晃的( shaky的最高级 ); 发抖的; 不坚定的; 不稳定的
sugariness|含糖, 甜蜜, 甘味
scarth|[人名] 斯卡思; [地名] [加拿大] 斯卡斯
somatophyte|体质植物
situates|使位于, 使处于…地位（位置）( situate的第三人称单数 )
stylops|[昆]捻翅虫
sombre|昏暗的, 阴沉的, 阴暗的, 忧郁的, 暗淡的, 浅黑的
sleeveboard|[熨袖子用的] 熨袖架
soralium|粉芽堆
skipper|船长, 机长, 队长
switchback|Z形爬坡路线
sheetflood|片蚀, 漫洪; 片流
salung|萨隆(古暹罗银币)
salviniales|槐叶苹目; 槐叶苹亚纲
seladang|(=saladang, sladang)[ 动]马来群岛产的
solitaires|单人纸牌戏, 单人跳棋, 单粒宝石( solitaire的复数形式 )
slob|泥, 软泥, 粗俗平庸的人
sharded|(尤指陶瓷等的)碎片；【动物学】鳞片, 鳞甲
suslik|欧黄鼠, 花金鼠(产于欧亚大陆北部和中部)
shadily|多荫地, 阴暗地, 隐蔽地, 可疑地
siping|刀槽花纹
sarmatian|(古时东欧地区维斯杜拉河和伏尔加河之间的)萨尔马提亚的, 萨尔马提亚人的, 萨尔马提亚人
stenopaic|[医] 狭隙的, 裂隙的, 小孔的
slimmer|<英>(通过节食、运动等)减轻体重者,减肥者
stine|（人名）.斯泰恩
sigils|(sigil 的复数) n. 图章, 印章, 印记, 魔符
sparerib|排骨
scatterers|(scatterer 的复数) n. 分散者, 散射体, 撒播者
stickweed|北美倒刺毛里植物
sadism|虐待狂, 施虐欲, 残忍
simulant|拟态的, 模拟的
sigil|图章, 印章, 印记, 魔符
stereography|立体摄影术, 立体平画法
scorned|轻视, 蔑视( scorn的过去式和过去分词 ); 不屑做; 不屑于（接受或做）, 轻蔑地拒绝
sallows|(sallow 的复数) a. 灰黄色的, 土色的, 气色不好的
seismogram|震波图
serpentis|Serpens的所有格
stallions|种马( stallion的复数形式 )
sweetish|有点甜的, 过甜的
seidlitz|塞得利兹(捷克斯洛伐克的著名碱质矿泉地)
soiled|污染的
stintingly|吝惜地
secerned|区别；分泌
spectaculars|壮观的场面, 精彩的表演( spectacular的复数形式 )
sequestrate|扣押, 没收
stenotopic|[生]窄幅分布的
slyly|狡猾地, 秘密地, 俏皮地, 偷偷地
squalling|号啕, 尖叫( squall的现在分词 )
subfossil|亚化石的
subinfection|轻感染
slanderer|诽谤者, 造谣中伤者
swoosh|哗哗响, 作嗖嗖声
sympatric|[生](生态) 分布区重叠的, 同域的
scherzos|(scherzo 的复数) n. [音]诙谐曲
serenades|<音>（尤指男子在所爱慕的女子窗外唱的或演奏的）小夜曲( serenade的名词复数 ); 唱[奏]小夜曲的人
sapanwood|苏木木材, 苏木
submicrogram|次(或亚)微克(量)的
sporangiole|(=sporangiolum) 小型孢子囊
spiffily|spiffy的变形
stra|[医]（复strae）横纹，纹，条纹，线条，陷线（昆虫），壳纹，壳线间隙
servingman|男佣人
subjunctive|假设法
sickerness|sicker的变形
submodule|[计] 子模块
stoney|多石的, 坚硬如石的, 铺着石块的, 石质的, 冷酷的, 没有表情的, 无情的
sweetleaf|甜叶
supportless|无支持者的, 无支撑的
salicaceous|[植]杨柳科的
snigger|窃笑
shavians|(Shavian 的复数) n.萧伯纳的崇拜者
sindhi|信德奶牛
symbolist|符号使用者, 象征主义者, 符号学者
stealthily|暗地里, 悄悄地
seventies|七十( seventy的名词复数 ); 从七十到七十九的数目、年数或温度
strum|弹拨(声)
singling|挑选( single的现在分词 )
semiarc|半弧
subcuboid|近立方形的
stains|染色剂；污点（stain的复数）
shoo|interj. 嘘(赶鸟时所发声音)
scyphozoan|钵水母
savoyard|[法]萨瓦(Savoy)地方的, 萨瓦人
shoddily|恶劣地
shekels|古希伯来或巴比伦的衡量单位（或钱币）( shekel的复数形式 )
shogun|<日>幕府时代的将军
sialoangitis|[医] 涎管炎
simplicities|简单, 朴素, 率直( simplicity的复数形式 )
salangid|银鱼
savoring|意味, 带有…的性质( savor的现在分词 ); 给…加调味品; 使有风味; 品尝
sleepwalkers|[电影]舐血夜魔
spined|有背骨的, 有脊柱的, 有刺的
syrinx|排箫, 鸣管
synovial|滑液的, 滑膜的
sorbic|[医] 山梨的
sortieing|出击, 突击( sortie的现在分词 )；到陌生或环境不亲切的地方的短暂旅行
subrotund|[医]近圆形的
saxicavous|[动](软体动物)钻岩的
segnos|（音）从标有记号处开始重复( segno的名词复数 )
stunner|令人震惊的事物, 绝妙的东西, 出色的人
spongiose|多孔的
suspensor|悬带, 吊绷带
squalene|[生化](角)鲨烯,三十碳六烯
sandspur|[网络] 山德斯波尔
shlock|次品, 伪劣品, 伪劣货
seroscopy|[医] 血清凝集镜检查
solidarize|团结一致
sillyhow|新生儿身上的羊膜
sexifid|[医]六半裂的
smashingly|极好地
sasine|[律](苏格兰法) 封地的占有, 授予封地的仪式( 或文书)
siliquaria|仿荚蛏属
spectacles|眼镜
staringly|staring的变形
sarin|[化] 沙林
sopper|[人名] [英格兰人姓氏] 索珀 Soper的变体
scurril|恶语毁谤的 (=scurrilous)
stiltbird|[网络] 高跷鸟
sunrises|日出（sunrise的复数）
smiler|微笑者
shadowgraphy|[医] X线照相术
stomatotomy|[医] 子宫口切开术
synechia|[医]黏连, 虹膜黏连
snoutish|snout的变形
soled|底的
splat|椅背纵板
sigmoidopexy|[医] 乙状结肠固定术
serjeant|[法] 警官, 宪兵队长, 律师
susans|[人名] 苏珊斯
scratchers|(scratcher 的复数) n. 抓扒者, 抓扒工具
saronic|Gulf 萨罗尼克湾(靠希腊伯罗奔尼撒半岛东北岸)
stablish|[古]使坚固（等于establish）
shakedowns|(shakedown 的复数) n. 便床, 整顿, 调整
stenciling|镂花涂装
schismless|schism的变形
scraggling|分配不均匀的, 轮廓不规则的
subantarctic|亚南极(区)的
stetsons|斯泰森毡帽（一种阔边高顶毡帽）( Stetson的复数形式 )
sherry|雪利酒, 葡萄酒
saberbill|镰嘴鸟
supermarkets|超级市场( supermarket的复数形式 )
squeezes|拥挤( squeeze的名词复数 ); 男朋友; 亲切的拥抱或握手
slicken|<英方>光滑的,擦亮的
serosynovial|[医] 浆液滑液性的
stanchion|支柱, 标柱
snowball|雪球, 果味冰霜卷, 滚雪球式的募捐法
seedeater|[鸟]食籽雀
sonata|奏鸣曲
stibonium|锑(指有机五价锑化合物)
slyboots|狡猾的人, 恶作剧者
saucisse|大型长梢捆, 柴把滚笼
splintery|破片的, 裂片一般的, 容易裂开的
springwood|春材
strengite|红磷铁矿
swapped|交换（工作）( swap的过去式和过去分词 ); 用…替换, 把…换成, 掉换（过来）
stella|[医] 星状绷法; 星
socialists|社会主义者( socialist的复数形式 )
separatory|分离用的
spondylitic|脊椎炎患者
stoppage|停止, 中止, 阻塞, 阻碍, 堵塞, 故障, 停付, 扣除, 扣留, 停工, 罢工
stemless|无茎的, 无梗的
statutorily|根据法律条文地
scaffold|脚手架, 绞刑台
suprematism|[画]至上主义(1913 年出现在俄国的纯几何形抽象绘画艺术运动)
subordinal|[生]亚目的
scoffs|嘲笑, 嘲弄( scoff的第三人称单数 )
specking|铁点污染
siphonophore|[动]管水母目动物
supplicat|(英国大学中的)学位正式申请书
systemising|(systemise 的现在分词) vt. [英国英语] = systemize
supplicants|恳求者( supplicant的复数形式 )
shavian|萧伯纳的崇拜者
skidding|滑移；地面上拖行；轮滑；侧滑滑行（skid的现在分词）
subtended|对向, 包在叶腋内( subtend的过去式和过去分词 )
slobbers|流口水( slobber的第三人称单数 ); 垂涎; （说话时）过分伤感; 极端感情用事
sourpuss|整天绷着脸的人, 讨人嫌的家伙
sass|狂妄的话, 炖水果
suboxide|低价氧化物
supplemented|增补, 补充（supplement的过去分词）
stroud|粗呢衣服,粗呢毯子
stibial|(正, 五价)锑的
suffrutex|<拉>半灌木
secerning|区别；分泌
slotted|有沟槽的；有裂痕的
sacculi|背囊; ; 抱腹器（抱腹器）
splurges|<非正>乱花钱, 糟蹋钱, 挥霍( splurge的名词复数 )
submicron|[计] 亚微米
senhora|夫人, 贵妇
safranophil|嗜番红的
samburu|[地名] [肯尼亚] 桑布鲁
squeakers|(squeaker 的复数) n. 吱吱叫的东西, 小猪, 雏鸽
symmetrize|使匀称, 使对称
summoning|传唤( summon的现在分词 ); 召唤; 传讯（出庭）; 鼓起（勇气）
saltbush|[植]滨藜
swartness|swart的变形
shelterer|庇护；避难所；遮盖物 (shelter的变形)
spinales|[动]棘肌
shambled|蹒跚而行, 拖着脚走, 踉跄地走( shamble的过去式和过去分词 )
studbook|良种登记册
stickwork|棒法
swordgrass|剑状叶草工作室, 感谢您的使用。
shooter|射手, 狩猎者, 手枪
subsign|[网络] 下注
sulphides|(sulphide 的复数) n. 硫化物
streek|<苏格兰>伸展（四肢）, 伸出（手、臂）； 殓（尸）
sieving|[计] 筛选
soling|船壳板叠接部分；护面砌石；索林级；鞋底胶
sulphonyl|[化]磺酰(基),硫酰
scandia|[化]氧化钪
splintage|[医]使用夹板
snowless|无雪的
suboctave|亚倍频程的
screeners|(screener 的复数) 筛
slippier|(slippy 的比较级) a. 快的
steriliser|[医]消毒器, 灭菌器
sonication|[生化](超)声波降解法(指用超声波使细胞、病毒等降解的方法)
scleroses|硬化, 硬化症
spasmophilic|[医] 痉挛素质的
signum|[医] 征
spermiduct|[动]精管
spirketing|[船]内部腰板
sialagogic|[医] 催涎的
superpower|超级强权, 超级大国
sned|<英方>砍掉,修剪
shrewishness|泼悍
sinfully|罪孽深重地, 不道德地
sprawled|伸开四肢坐[躺]( sprawl的过去式和过去分词); 蔓延; 杂乱无序地拓展; 四肢伸展坐着（或躺着）
squall|飑, 喊叫
stegosaur|剑龙
subsumable|subsume的变形
signalized|使著名( signalize的过去分词 ); 使显著; 使显眼; 向…发信号
sialadenitis|[医]涎腺炎
seston|悬浮物
spues|吐出, 呕吐（spue的第三人称单数形式）
subvisible|在显微镜下才能看到的,不用显微镜看不见的
shorthorns|(shorthorn 的复数) n. 短角牛
sneaksby|偷偷摸摸的人,鬼鬼祟祟的人
snubness|snub的变形
skirr|轰轰声
scrawniest|瘦的, 皮包骨的( scrawny的最高级 )
safekeeping|保护, 保管
sleepers|枕木；卧铺
susumu|(Susumu)人名；(日)进 (姓)
starching|把（衣服、床单等）浆一浆( starch的现在分词 ); 上浆
snacks|快餐；小吃；零嘴（snack的复数）
statvolt|[电] 静伏特
speeching|说话能力；口语交谈；说话, 谈话
sphygmology|脉学, 脉搏学
seminate|播种于, 传播,散布
saligenol|水杨醇
scorekeeping|[经] 积累数据
sickerly|sicker的变形
slogans|标语, 口号, 广告语( slogan的复数形式 )
senega|美远志, 美远志根
stere|立方米
supraocular|眼球上的
schiller|青铜色光泽
skellat|小铃
sporozoon|孢子虫
scrummager|[体]争球队员
saltchucker|<美口><加拿大口>海钓者
synaptase|[化] 苦杏仁酶
swaddling|束缚, 用襁褓包( swaddle的现在分词 )
splodgy|污点的;斑点的
sonnetist|十四行诗作者, 小诗人, 拙劣诗人
semismile|淡淡的微笑,抑制着的笑,勉强的笑
supernatant|浮在表面的
syntripsis|[医] 粉碎骨折
sapo|[医] 肥皂, 皂
skives|<英, 非正>旷工( skive的第三人称单数 ); 旷课; 逃学
swanked|<英, 非正, 贬>炫耀, 卖弄( swank的过去式和过去分词 ); （使）加快, （使）增速( accelerate的过去式和过去分词 ); 做苦工; 使劳累
sacerdotally|sacerdotal的变形
sulphurator|硫黄漂白器, 硫黄烟熏器
sobersided|持重的；认真的; 严肃的；正式的
summoner|召唤者, 法院传票送达员
sequestral|[医]死骨(片)的
sesquisalt|倍半盐
shipworm|船蛆
sociogeny|社会的起源和发展
sensibilia|[复] n.可被感知的事物
suppletory|(supplementaries) 增补者, 增补物
seraphina|[人名] 塞拉菲娜
surfeiter|过度；饮食过度；恶心（由于饮食过度所引起） (surfeit的变形)
seker|[人名] 塞克
spoondrift|浪花, 浪涛飞沫
speakeress|女演说家,女发言人
snakewort|[医] 拳参(根)
stillhouse|蒸馏室；酒厂
sleeplessly|失眠地
swage|旋锻工具, 型砧, 冲模
specked|有斑点的, 有疵痕的
skydive|跳伞运动员在降落伞张开前做空中造型动作
schedular|一览表的, 制表方面的
susian|[网络] 苏西安
sizy|浆料(似)的, 黏稠的
scrutineer|检查者, 监票人
sibylla|[女子名] 西比拉 Sibyl的变体昵称Sib
superinduce|另加, 外加, 另立...为继承人, 另娶, 引起(疾病)的并发
sculpsit|(这)由...所雕刻
slagged|（使）成渣（状）( slag的过去式和过去分词 ); 诋毁; 贬损; 辱骂
scotties|(scotty 的复数) n. 苏格兰狗（等于Scottie）
scrinium|(古罗马)装卷轴用的圆筒
screenable|可放映的（screen的变体）
sensately|sensate的变形
selamlik|(伊斯兰教国家中)室内男子居住部分
spitfire|烈性子的人, 喷火的东西
shifty|变化的
squatters|蹲着的人( squatter的复数形式 ); 擅自占用房屋或土地的人
swiney|[人名] [爱尔兰姓氏] 斯温尼 Sweeney的变体
sealyham|狗的一种
seraphine|[电影]塞拉菲娜
syndesis|捆扎, 联结
saran|赛纶, 偏氯纶
synergist|合作剂, 增效剂, 协作器
solenoglyph|[动]管牙类毒蛇
swisses|瑞士人( Swiss的名词复数 )
streamed|& vi. 流, 流动（stream的过去式与过去分词形式）
safest|安全的（safe的最高级）
sabbath|安息日
spiracular|通气孔的, 气门的, 喷水孔的
spence|思朋斯（男子名, 等于Spencer）
songlike|像(诗)歌的
sepulcher|坟墓
sprigged|有小枝图案的（薄棉布）
sachemdom|酋长；政党领袖；（美）坦慕尼协会的干事 (sachem的变形)
subparalytic|[医] 轻瘫的, 不全麻痹的
serry|拥挤,密集,紧排
superwomen|(superwoman 的复数) n. 女超人
spinney|矮林
slavic|斯拉夫的, 斯拉夫人的
sparser|稀疏的, 稀少的( sparse的比较级 )
swampland|沼泽地
sauteed|快炒; 嫩箭
seis|检波器, 地震检波器
sorbose|[化]山梨糖
shoelaces|鞋带( shoelace的复数形式 )
shindy|喧哗, 舞会, 大宴会
sprigging|（烹饪或装饰用）带叶小枝( sprig的现在分词 )
sab|Sabbath 安息日; sabbatical 安息日的; soprano, alto, baritone 女高音; special assessment bond 特别评估债券
saskatoon|唐棣
semiglobular|半球形的
silo|筒仓, 青贮窖
slithering|（因地面陡峭或湿滑等）跌跌撞撞地溜行( slither的现在分词 ); 滑行; 蛇行; 爬行
siloam|(《圣经·约翰福音》中记载的耶路撒冷城外的) 西罗亚水池
scull|短桨, 尾橹
squared|方格的；成正方形的
shikimol|莽草脑; 黄樟素
semantical|语义的
sparring|对打；夹条板, 保护条
studded|布满颗粒, 打上装饰钉, 镶嵌; 镶嵌(stud的过去式和过去分词)
swarth|<方> = sward
shreds|撕碎, 切碎( shred的第三人称单数 ); 用撕毁机撕毁（文件）
smirked|傻笑( smirk的过去分词 )
sugan|粗毯子
syndesmology|韧带学
suspiring|叹息, 叹气( suspire的现在分词 )
surveillant|监视者, 监督者
subdeb|(常指十五六岁的)妙龄少女
solids|固体( solid的复数形式 ); 立体图形; 立方体; 硬粒
skippet|( 旧时保护文件封印的) 封蜡盒
sortably|sortable的变形
stemmed|有...茎的, 装有...柄的, 有...梗的, 去掉茎的, 去掉梗的
sporogenous|[医] 产孢子的
secco|干壁绘画法
siliciophite|硅质蛇纹状岩
slavers|口水( slaver的名词复数 ); 奉承; <史>贩运奴隶的船; 胡言
semihuman|半人(类)的
spiderwebbed|(spiderweb 的过去时) n. 蜘蛛网
stethograph|[医] 胸动描记器
sedated|使昏昏入睡, 使镇静( sedate的过去式和过去分词 )
strafing|用机枪扫射, 猛烈炮轰, 惩罚( strafe的现在分词 )
subareas|(subarea 的复数) n. 分区
saviour|救助者, 救世主, 救星
sororize|结为姐妹
simpers|傻笑, 假笑( simper的名词复数 ); 傻[假]笑着说出
sizeableness|[网络] 大小
sadhana|成就法(印度教与佛教密宗用语,指人召请本尊,与其融为一体,并将其并入自身之法)
storywriter|小说作者, 小说家
subface|底面
stereocamera|立体摄影机; 立体照像机
skittery|滑溜溜的
swank|出风头, 炫耀
signalled|发信号, 用信号传达, 用信号通讯( signal的过去式和过去分词 ); 发暗号; 示意
showmanship|安排演出的窍门, 吸引观众的窍门, 经营术, 招徕生意的手腕
sapiency|智慧;像有学识;装聪明
sugarhouses|制糖场( sugarhouse的名词复数 )
silicified|（使）硅酸化( silicify的过去式 )
sphacelia|麦角真菌的分生孢子期
swob|拖把, 海棉
saernaite|钙霞正长斑岩
skeed|,vt. skee的变形
secluding|使隔开, 使隔绝, 使隐退( seclude的现在分词 )
seleniferous|[化]含硒的,产硒的
sleepier|欲睡的( sleepy的比较级 ); 困乏的; 安静的; 冷清的
sniveler|假哭者, 哭诉者
skivers|(skiver 的复数) n. 割皮革的人, 一贯逃避工作的人
soaker|浸洗人, 酒量大的人, 倾盆大雨
solutus|(=dissolved)溶解的(处方用语)
scapulet|(=scapulette)肩板
schooltime|上课时间, 温习时间, 学校时代
spiralling|螺型位移, 螺旋运动
somatotypy|[医] 体型决定
scandaroon|斯堪达隆信鸽
submucosal|[医] 粘膜下层的
steeves|[人名] 斯蒂夫斯
steroids|类固醇( steroid的名词复数 )
seborrheic|[医] 皮脂溢的
sundanese|[sing., pl. ] 巽他人[语]
snuffing|剪（烛）花( snuff的现在分词 ); 熄灭（烛光）; 消灭; 谋杀
shrimping|捕虾
subfamily|亚科
straked|(strake 的过去分词) n. 轮箍, 条纹, 狭长草地
spouter|喷油井, 说话滔滔不绝的人
systemless|无系统的, 无秩序的, 无规则的
sodomize|对…鸡奸(或口交、兽奸等)
snatchingly|snatch的变形
secalose|黑麦糖
segregative|分离的, 种族隔离的, 不喜交际的
snarliest|snarly（纠缠在一起的；善于嚣叫的；爱漫骂的；脾气坏的）的变形
stylate|[医]具针刺的
staggy|像成年雄畜的
sphecius|[网络] 螺纹
sunfast|耐晒的, 不退色的
semicretin|[医] 轻呆小病者
swigging|<非正>大口喝（酒等）( swig的现在分词 )
siphunculate|[动]有体管的,[昆]有腹管的
sideswiping|擦边撞击( sideswipe的现在分词 )
snapline|弹线
sambas|桑巴舞（一种源自非洲的巴西舞）( samba的名词复数 )
schultz|舒尔茨（姓氏）
shiel|(Shiel)人名；(英)希尔
socialness|社会性
spinozistic|Spinozism的变形
stodgiest|<英, 贬>（食物）吃下去感觉撑的( stodgy的最高级 ); 易饱的; 滞涩的; 古板的
sirgang|[鸟]蓝绿鹊[东印度群岛土著语]
smokechaser|森林灭火员
semiliterate|半文盲
swannery|天鹅饲养场
sapphira|[女子名] 塞弗拉来源于希腊语，含义是“蓝宝石”(sapphire)
sucramin|[医] 甜铵, 铵糖精
sarrusophone|萨鲁管(一种装有双簧的吹奏乐器)
scatteration|散开
secondaries|[医] 二期梅毒疹
sweetishly|sweetish的变形
strigidae|[网络] 鸱鴞科；鸱鸮科；鸱枭
senecas|塞内卡族（位于纽约西部）；塞内卡语；塞内卡人
songcraft|诗歌创作方法,作诗技巧
santour|= santir[变体]
spored|（细菌、苔藓、蕨类植物）孢子( spore的过去式和过去分词 )
