phone|手机
plink|(使)发出叮当声
puniest|小于一般尺寸的( puny的最高级 ); 微不足道的; 弱小的; 微弱的
polarizable|可极化的
pickaxed|镐( pickax的过去式和过去分词 )
processible|适合加工(或处理)的, 可加工(或处理) 的
prehepaticus|[医] 前肝间质, 初肝间质(胚)
pasts|过去, 昔时( past的复数形式 ); 往事; 过去的生活[经历]
phagocytosis|噬菌作用, 吞噬作用
prosody|诗体学, 韵律学, 作诗法
poinded|(poind 的过去分词) 扣押,没收而拍卖(债务人的财产)
proteinase|朊酶, 蛋白酶
phosphorogen|磷光激活剂; 磷光增强剂
palais|舞厅
potable|适于饮用的
potholder|用以握持热锅的布垫子或厚布
payen|(Payen)人名；(法)帕扬
piccolos|短笛( piccolo的复数形式 )
poiser|平衡剂(氧化还原反应缓冲剂)
platted|制…的地图
potterers|(potterer 的复数) n. 陶艺家, 制陶工人 (potter的变形)
pitchometer|螺距测量仪,螺距规,节距规
persevering|坚忍的, 不屈不挠的, 执拗的, 倔强的
profluvium|流出, 溢流
pactional|[法] 契约的, 短期国际协定的
pyocyanase|绿脓菌酶, 脓青酶
pedological|pedology的变形；pedology的变形
percuss|叩诊, 轻敲
puggree|印度人用的轻薄头巾,(帽后护颈的)遮阳布
plutonist|火成论者
plexiform|[解](血管、淋巴管、神经等)丛状的
pomologist|果树栽培学家 (pomology的变形)
pincer|（甲壳动物的）螯； 钳子
prefatory|前言的, 序言的
phanerogamic|开花的, 显花植物的
posttyphoid|[医]伤寒后的
potometer|(测量植物散发作用的)散发计
plasmology|[医] 原生质学, 原浆学
pandermite|[矿]白硼钙石
professing|声称( profess的现在分词 ); 宣称; 公开表明; 信奉
planar|平面的, 在同一平面上的, 二维的
picrocarmine|苦胭脂红
periaortic|[医] 主动脉周的
pirating|盗印；掠夺；翻印（pirate的ing形式）
peripteroi|围柱式建筑
peascod|豆荚
preoccupies|占据（某人）思想, 使对…全神贯注, 使专心于( preoccupy的第三人称单数 )
paragons|模范( paragon的复数形式 ); 典型; 十全十美的人; 完美无缺的人
patache|小型递送船
pisco|皮斯科白兰地(一种秘鲁白兰地酒)
pressingly|恳切地, 强求地
periproctic|[医] 直肠周的
purchaser|买方, 购买者
photomural|壁画式照片, (装饰性)大幅照片
piranhas|[地名] [巴西] 皮拉尼亚斯
perjure|使发伪誓, 使作伪证, 使破坏誓言
prickliness|多刺；多刺性
perigynium|雄器苞
polecats|臭猫, 北美产之臭鼬类( polecat的复数形式 )
perilousness|冒险
pollens|(pollen 的复数) n. 花粉
petrodollars|(petrodollar 的复数) n. 石油美元
palindrome|回文, 回文结构
paramastitis|[医] 乳腺周炎
pascual|牧场的, 长在牧场的
pretrematic|(脊椎)孔前的
pycnometer|比重计
placeholder|占位符
palming|[体]翻球
pippy|多种子的
podolite|碳磷灰石
precipitable|沉淀性的, 可沉降的
phenanthrol|[化] 菲酚
primp|打扮, 装饰
paraphrenia|[心理]妄想呆痴
promenaded|兜风( promenade的过去式和过去分词 )
pearlike|pear的变形
pencilling|铅笔画, 毛笔画, 彩色细纹
punner|夯
parallaxes|(parallax 的复数) n. 视差(量)
prolapsus|[医](尤指直肠,子宫等)脱出,脱垂,下垂
princesses|（除女王或王后外的）王室女成员( princess的复数形式 ); （尤指）公主; 王妃; 王公贵族夫人
plectron|(弹奏弦乐器用的) 拨子,琴拨,拨弦片
palmus|心跳, 心悸
plantago|车前草属
pricey|昂贵的, 价格高的
putter|置放者, 推车工, 轻击棒
perithoracic|[医] 胸周的
parbuckle|套拉索
prolamins|[化] 醇溶谷蛋白
pipelaying|铺设水管之工程, 为达到某种目的之计划
proconsuls|(proconsul 的复数) n. 代理领事, (殖民地)总督
polygenist|多元发生说者
pantomorphia|[医] 多形性, 全对称
partaker|参与者, 分享者
praepostor|监督生
pyrosulphate|[化]焦硫酸盐
patronizing|屈尊俯就的, 显示优越感的
procures|（努力）取得, （设法）获得( procure的第三人称单数 ); 拉皮条
pots|[计] 简易老式电话服务
pyramidalist|埃及金字塔传说的解说者
pacifically|和平地
planted|vbl. 种植
purveyors|承办商, 伙食承办商( purveyor的复数形式 )
pugmark|脚印
pressor|加压的, 增高血压的, 使机能亢进的
paperhanging|裱糊(业)
pelvioscopy|[医] 盆腔检查
precyst|前囊胞
protoconule|原小尖
progressist|进步分子, 革新主义者, 改良主义者
protending|伸出, 伸展；延长
panaman|巴拿马人
playgrounds|操场( playground的复数形式 ); 游乐场; 娱乐场; （某些集体聚会游乐的）园地
pandemia|[医] 大流行病, 泛流行病
praseodymia|氧化镨
petrifactive|有石化性能的
protocaseose|[医] 原酪[蛋白]ж
pursley|[人名] 珀斯利
pieta|[意]圣母玛利亚膝上抱着基督尸体的图画[雕刻]
polyvinyl|聚乙烯基的
peaty|泥煤似的, 多泥煤的
parlaying|连本带利地赌博, 使增值( parlay的现在分词 )
pharyngolith|[医] 咽石
pentode|五极管, 电子五极管
perichondral|[医] 软骨膜的
pathogene|病原体
psycholepsy|[医] 心境突变, 抑郁发作
pickoff|以牵制球使出局, 传感器, 敏感元件
pupigerous|[医]成围蛹的
pickel|冰斧
pungent|刺激性的, 尖刻的, 苦痛的
priory|小修道院
plats|pilot landing aid television system 驾驶员助降电视系统; precision location and tracking system 精确定位与跟踪系统
panjandrums|(panjandrum 的复数) n. 自命不凡的人, 架子十足的官吏
pleaches|编织( pleach的第三人称单数 )
precipitated|（突如其来地）使发生( precipitate的过去式和过去分词 ); 促成; 猛然摔下; 使沉淀
pictorials|(pictorial 的复数) a. 绘画的, 插图的, 用图画表示的, 形象化的, 有象形文字特征的
plebeianism|平民的特点, 带有平民特点的行为, 粗俗, 卑贱
potentiation|加强, 有提高效力的作用, 有加强的作用, 使更有效力, 强化
prologuing|开场白；序言
pyrenin|[生化]核仁素
phytotomist|phytotomy的变形
paddling|[机] 搅动
pentaprism|[物]五棱镜
parabole|[医]抛物线
pauline|保罗的, 使徒保罗写的
preceptors|(preceptor 的复数) n. 导师, 教师, 校长, 圣殿骑士地方分团团长
preeruptive|[医] [发]疹前的
procurators|代理人( procurator的复数形式 )
prevalently|流行地, 普遍地
phaedra|菲德拉（Minos 之女）
pocketknives|随身小折刀( pocketknife的名词复数 )
petrogenetic|岩石成因的
primitively|最初地, 自学而成地
parazoan|侧生动物(即海绵动物或多孔动物)
prepubis|前耻骨
pentanone|戊酮
pistonhead|[机]活塞头
placage|(建筑物的)薄饰面
phytochlorin|[化] 植物二氢卟酚
popishness|popish的变形
polyorchism|[医] 多睾[畸形]
parvis|前院, 天井, 柱廊
postalveolar|[医] 牙槽后的
periangioma|[医] 血管周瘤
piperno|斑带粗面熔岩
pachisi|25点游戏
plantula|爪垫叶
predry|预干燥的
peppercorns|胡椒子, 空有其名的地租( peppercorn的复数形式 )
pacay|巴喀豆
potus|饮剂
pedantries|(pedantry 的复数) n. 假装学者, 卖弄学问, 迂腐
paragrapher|短讯记者
pled|为...辩护, 以...作为答辩, 以...为借口, 以...为理由, 辩护, 申明, 抗辩, 恳求
protend|(使)伸出, (使)伸展
preheated|预热( preheat的过去式和过去分词 )
purpleness|purple（紫色，紫红色）的变形
polyandrist|多夫妇女,赞成一妻多夫制的妇女
personalties|动产( personalty的名词复数 )
proette|(尤指高尔夫球的)女职业运动员
prog|食物, 进步分子, 学监
postvaccinal|接种后的
prank|开玩笑, 恶作剧, 戏谑
pattypan|面饼锅, 西葫芦
pseudopupa|先蛹
pittard|(Pittard)人名；(法)皮塔尔
puffery|夸大广告, 吹捧
pathologies|病理（学）( pathology的名词复数 ); <医>病理学家
prosopite|水铝氟石
pullulated|（种子）发芽( pullulate的过去式和过去分词 ); 充满; 富于; 聚集
preordaining|预先规定, 注定( preordain的现在分词 )
pussyfoot|蹑行, 抱骑墙态度
phytocidal|杀死植物的,除草的,除莠的
proctologist|[医] 直肠病学家
prosiness|散文性质, 没趣
paradoxy|似非而可能是的性质, 似非而可能是的状态
plotosid|鳗鲇
punic|古迦太基人的, 没有信义的
pinked|穿孔的, 击穿的
postmeridian|午后的, 午后发生的
progeny|子孙, 后裔, 成果
paederasty|[网络] 男色；孪童癖；恋童
perivesical|[医] 膀胱周的
picklock|撬锁工具, 撬锁人, 盗贼
preempted|先占( preempt的过去式和过去分词 ); 取代; 先取; 先发制人
polyuria|多尿
peritreme|孔缘
posologic|[医] 剂量学的
peats|(peat 的复数) n. 泥煤, 泥炭色
proteidae|洞螈科
potentials|潜力( potential的复数形式 ); 电位; [电子学]电势
pleurogenous|[植]侧生的, [医]胸膜原性的
punitively|惩罚地；刑罚的
phloem|韧皮部
prudish|拘守礼仪的, 过分规矩的, 表面正经的
papistic|天主教的
philippics|(Philippic 的复数) n.激烈的抨击
pricking|刺, 刺痛感
paridae|[网络] 山雀科；山鹊科
pulex|[医] 蚤属
puerility|孩子气, 愚蠢, 未成熟
pinfeathered|pinfeather的变形
prevailingly|一般性地
philonian|[网络] 菲律宾人
persistently|坚持地; 固执地; 一个劲儿
peumus|[医] 波耳多树属
prepotential|前电势, 前电位
phyllostome|[动]叶鼻蝠
previewing|预视；预观察
protaxis|反应本能
patrimony|祖传的财物, 继承物
pharmacopeia|[医] 药典
protervity|放纵；暴躁, 易怒；放纵的表现；暴躁行为
poorish|质量不大好的
papio|[医]狒狒
pedunculate|有花梗的, 有梗的, 有肉茎的
paramide|[化] 蜜亚胺
persimmon|柿子(树)
photosetting|[印]照相排字
phalangist|(黎巴嫩的)右翼基督教民兵, 长枪党党员, 法朗吉党党员
pureblood|纯血统的
paniolo|(夏威夷)牧童，牧人
platypellic|骨盆扁型
peccavi|认罪, 忏悔
polydactyl|多指(或趾)畸形的
promontoried|形成海岬的, 有海岬的
prodelision|首元音的省略
polyarchies|(polyarchy 的复数) n. 多头政治
predictor|预言者
peseta|比塞塔(西班牙银币)
pottinger|[人名] [英格兰人姓氏] 波廷杰职业名称，浓汤制作者或销售者，来源于中世纪英语、古法语，含义是“钵，锅”(pot)
postponement|延迟, 延期
pleomorphic|[医] 多形的
pseudocumene|[有化]假枯烯, 偏三甲苯, 1, 2, 4-三甲基苯
papistry|天主教, 天主教教义
penfold|(Penfold)人名；(英)彭福尔德
polies|工艺学校（poly的复数形式）
phronesis|[哲]实践智慧( 指在确定目标及达到目标的手段中的智慧)
pollutes|污染( pollute的第三人称单数 ); 腐蚀
plushness|plush的变形
phrasemaking|警句的编造技能
preterit|过去的
platinotype|铂盐印像法, 铂盐印像法印出的照片
preexposure|[摄]预曝光
preagitation|预搅动
pockmarks|痘痕, 麻子( pockmark的名词复数 )
puerileness|puerile的变形
parachronism|记时错误
protorosaur|原龙
polymaths|博学的人
phytozoon|[动]植形动物
pupillate|具瞳的
phrenic|横隔膜的, 精神的
persiennes|百叶窗
pluripara|[医] 经产妇
prom|(英)音乐会, (美)舞会, 散步道
plaud|鼓掌；拍手
pipped|Product Improcement Program 产品改进计划( pip的过去式和过去分词 ); 果核; 种子; 短而尖的声音
pentavalent|五价的
prelingually|[网络] 舌前
promiscuous|杂乱的, 混杂的, 混淆的
pluralistic|兼职的, 多元论的
pooches|(pooch 的复数) n. 狗, 杂种狗
probating|遗嘱检验, 经检验的遗嘱文本( probate的现在分词 )
purlieus|<正>边缘部分, 外围部分, 郊区
pipy|管状的, 有管的, 发尖声的
pret|（服装）成衣的, 现成的
polyandric|一妻多夫的
poncho|南美披风, 雨披
piegan|(pl. Piegan, Piegans)派岗族人(黑脚印第安人的一支)
platonist|柏拉图学派的人
petioles|(petiole 的复数) n. 叶柄, 梗, 柄部
polyenic|多烯的
posterize|[摄]多色调分色印(相片)
prothalli|原叶体( prothallus的名词复数 )
parasitosis|寄生虫病
perjuries|假誓, 伪证, 伪证罪( perjury的名词复数 )
plagiarize|剽窃, 抄袭
pedantocracy|腐儒政治, 腐儒统治
passee|已过盛年的, 凋谢的
pecuniary|金钱的, 金钱方面的, 课罚款的
pase|斗牛士挥动红披肩诱躲牛之攻击时的躲闪动作
pedicular|虱子的, 多虱的
pennoncelle|小旗
predicates|谓词, 判断（predicate的复数）
phonemes|(phoneme 的复数) n. 音素, 音位
prompting|刺激, 激励, 提示
preoral|[解]口前的
polemoscope|军用望远镜
pillowcases|枕套( pillowcase的复数形式 )
pedantry|假装学者, 卖弄学问, 迂腐
playday|休假日, 休息日, 演出日, 非正式比赛
possumwood|沙箱树的轻而软的木材
paralyzation|[法] 无能为力, 瘫痪
polyporaceae|[医] 多孔菌科
pernel|[人名] 珀内尔
powerless|无力的, 无权的, 无效能的
prebiologic|生命起源以前的
pachyglossal|[医、动]厚舌的
polster|[医]小膨出
pentachord|五弦琴, 五音列
peppermints|薄荷( peppermint的复数形式 ); 薄荷糖
photophone|光线电话机, 光音机
prowls|小心翼翼地移动( prowl的第三人称单数 ); 徘徊; （动物）潜行（为捕猎等）; 潜行（图谋不轨等）
premorbid|[医] 发病前的
polyangular|多角的
pullus|幼鸟,雏鸟
pullets|小母鸡
personifier|personify的变形
parleys|和谈, 谈判( parley的名词复数 )
placebo|(为死者所诵的)晚祷歌, 安慰剂, 安慰的话, 使人宽慰的事
perichylous|週边肉质的
peperino|[地]白榴拟灰岩
planting|种植, 栽培, 播种, 人工林, 花圃, 苗圃
poppet|宝贝, 有孔小珠, 随转尾座
pandurate|[植](叶)提琴形的
palta|鳞片
phoradendron|穗花桑寄生属
predial|土地的, 不动产的, 田地的, 乡村的
permittee|[法] 持证人, 持照人
pyralididae|暝蛾科
prerectal|[医] 直肠前的
pushful|有精力的, 富有进取心的
plasmogen|生物原浆, 原生质
pulsations|(pulsation 的复数) n. 悸动, 震动
parablastic|[医] 副胚层的
proteide|<废>[生化]蛋白质
palladious|[化]亚钯的,二价钯的,含钯的(尤指含二价钯的)
pacemake|[医]起搏区
perorations|（演说等的）结束语, 结论( peroration的复数形式 ); 夸夸其谈的演说
paedomorphic|[生理学]稚态的；幼稚形态的
pyroxenitic|pyroxenite的变形
persecutive|persecute的变形
posttympanic|鼓室后部分
procedural|程序上的
pyroarsenate|焦砷酸盐
phragmites|[医] 芦苇
presell|(通过广告和推销)预售,向...预售
preknowledge|预先了解
piglets|小猪( piglet的复数形式 )
postabdomen|后腹部
phantasize|梦想, 幻想
peking|北京
presbytic|[医] 老视的
proplastid|前质体, 原质体
pyloric|幽门的
paleotechnic|古技术的；现代工业早期的
prothetely|[昆]先成现象(指昆虫的一种反常变态现象)
peacenik|反战运动分子
polysome|[生化]多核糖体
periphytic|水中悬垂生物的
pyxides|(pyxis的复数)药箱, 宝石盒,[植]盖果
proconsul|代理领事, (殖民地)总督
purga|[气]拨格风(发生在西伯利亚北部冻原地区的冬季强风暴)
permutate|重排列
phonogram|音符(组), 语音图, 声音描记像, 形声字, 电话电报
pashes|(pash 的复数) vt. (英)打碎, 粉碎
precuring|预固化; 预养护
pentagynian|五雌蕊的
priorship|修道院院长职位, 修道院院长任期, 修道院院长职权
protoplastic|原生质体的
parcelling|划分并分配, 打包
poritoid|孔状珊瑚
persistive|persist的变形
preemphasis|预加重, 预矫, 预修正
peashooter|射豆玩具枪
prosopospasm|[医] 面肌痉挛
polyandry|一妻多夫, 多雄蕊式
passeres|燕雀亚目
pelargonium|天竺葵
phoniness|虚假, 伪造
phosphine|磷化氢, 碱性染革黄棕
pavonazzo|孔雀色大理石
pillories|颈手枷( pillory的名词复数 )
pyromorphism|热变法
poltophagy|[医] 细嚼, 嚼烂
prespinal|[医] 棘前的
poacher|偷猎者, 侵入者, 炖蛋锅
parallelized|平行放置；使……平行于……
pneumatology|灵物学, 圣灵论, 气体(治疗)学
proponents|（某事业、理论等的）支持者, 拥护者( proponent的复数形式 )
plier|钳子(如老虎钳,手钳,扁嘴钳等),镊子
philistine|庸人, 门外汉, 仇敌, 俗气的人
ponderance|重量, 严重, 重要
penitencer|悔罪；悔过, 忏悔, 悔悟
patt|[计]= Partial Automatic Translation Technique,半自动翻译技术
predacious|捕食其他动物的, 食肉的
precollege|进大学前的,大学预科期的
pregnability|pregnable的变形
polyp|息肉, 水螅虫
plasmid|[化] 质粒
purlicue|食指尖与拇指尖相接后中间形成的空间
preconceive|事先认为
prognostics|预测科学
pemphigous|pemphigus的变形
prado|上流社会散步场；高级住宅区的林荫大道（尤指西语地区）
propounder|提议者, 建议者
penicil|(略呈散射形的)一簇细毛,毛撮
probations|(probation 的复数) n. 鉴定, 查验, 证明, 试用, 察看, 缓刑
pathways|路, 径( pathway的复数形式 )
postdates|填迟…的日期( postdate的第三人称单数 )
propagandise|<正><贬>（进行）宣传, 搞宣传活动vt.; 宣传（某事物）
pinkish|略带桃色的
pensioners|领取退休、养老金或抚恤金的人( pensioner的复数形式 )
pruner|修枝剪刀, 修剪树枝者
predigested|预先消化, 简化( predigest的过去式和过去分词 )
preact|提前, 超前(行动), 预作用, 提前量, 提前修正量
pogonia|[植]朱兰,朱兰花
parentally|父母般地; 像双亲地
pochismo|<西> n.(墨西哥和美国交界地区使用的) 夹杂英语词汇的西班牙语
postpones|延期, 推迟( postpone的第三人称单数 )
presager|预感；前兆 (presage的变形)
pirouetted|作皮鲁埃特旋转( pirouette的过去式和过去分词 )
parasitical|寄生的, 由寄生虫引起的
piccanin|<南非口>黑人小孩
pinchbeck|金色铜, 冒牌货, 赝品
paradenitis|[医] 腺周炎
parcener|共同继承人
pennyworths|(pennyworth 的复数) n. 一便士的价钱, 价值一便士之物, 少量, 交易
polos|(polo 的复数) n. 马球, 水球
puttyroot|[植]北美兰
percipience|知觉, 洞察, 感知能力, 洞察力
puler|pule的变形
portia|波西亚（女子名）
physiol|[医][=physiological]生理学的
puku|[动物]非洲赤羚 ; 胃
peculating|盗用, 挪用（钱财）( peculate的现在分词 )
pothole|壶穴
pledging|[法] 抵押物, 典当物
piecer|拼补者, 接经器, 接头工
polyimide|[化]聚酰亚胺
proclaimers|(proclaimer 的复数) n. proclaim的变形
palmated|掌状的, 有蹼的
pulverised|粉碎（pulverise的过去式）
precognitive|(对证人等的)预审
punctuality|严守时间, 正确
prophesying|预告, 预言( prophesy的现在分词 )
posher|精美的( posh的比较级 ); 豪华的; 漂亮的; 时髦的
pyrovanadate|焦钒酸盐
pompeian|庞培(意大利古城)的
proterandric|二型雄的
politesse|彬彬有礼, 优雅, 斯文
pentangle|五角星形
prolamine|[生化]醇溶谷蛋白
pharyngeal|咽的
prelateship|高级教士；高位神职者 (prelate的变形)
pinealoma|[医]松果体瘤
peptidolytic|解肽的, 肽分解的
prelatist|prelatism的变形
pumped|（肌肉由于过度运动）肿胀的；喘得上气不接下气的；腐心的
pours|涌出( pour的第三人称单数 ); 倾, 倒; 涌流; 倾泻
privatively|privative的变形
posh|豪华的, 漂亮的, 优雅的, 极好的
powwow|帕瓦仪式, 巫师
perceptivity|知觉, 知觉力
patashte|二色可可(树)
plasticized|增塑的
pacifying|使（某人）安静( pacify的现在分词 ); 息怒; 抚慰; 在（有战争的地区、国家等）实现和平
pattering|发出急速轻的拍声, 嗒嗒地跑( patter的现在分词 )
possessional|possession的变形
proctology|直肠病学
prickspur|单尖踢马刺
podogynium|雌蕊柄
propleuron|(pl.-ra)[动]前胸侧板
polyctenid|寄蝽
plebiscites|(plebiscite 的复数) n. 公民投票, 平民表决
possessors|<正>拥有者( possessor的复数形式 )
passeriform|[鸟]雀形目的
prolonger|延长者
poults|(poult 的第三人称 -s形式) n. 幼禽
pokelogan|<加拿大> 流动缓慢的小河
parricidal|杀父母的, 杀长辈的, 杀主人的, 叛逆罪的
prograde|与其他天体作同方向运行(或旋转)的
paradoxure|[动]椰子猫
parer|削皮的人, 削皮刀, 削皮器
personative|personate的变形
phylogenetic|种系发生的, 系统发育的
putridly|有害地, 糟透地
pliny|普林尼(①姓氏 ② Pliny “the Elder”, Gaius Plinius Secundus 老普林尼, 23-79, 罗马学者)
protoplasmic|原生质的
pampean|南美大草原(的)
prosopalgic|[医] 三叉神经痛的
proscenia|幕装置, 舞台; （古希腊, 古罗马的）舞台, 舞台前部装置（包括幕布, 拱形墙等）( proscenium的名词复数 )
proctoplasty|[医] 直肠成形术
purposeless|无目的的, 无意义的
pishogue|[爱]巫术, 蛊惑
prorogation|休会
praecordia|[医] 心口, 心窝, 心前区(胸下部腹上部)
putrefiable|会腐烂的
pyrrhotite|[矿]磁黄铁矿
probatory|检验的, 鉴定的, 证明的, 提供证明的
pageboy|小听差
panary|面包的
premodified|[网络] 预变形
peristalses|蠕动( peristalsis的名词复数 )
pulverin|[医] 苏打灰, 草灰
phlogosin|脓球菌素
pinnaces|(pinnace 的复数) n. 舰载艇, 大舢板
plagianthus|[网络] Pl
pipridae|侏儒鸟科
ponticulus|翅缰
ponderancy|重量, 严重, 重要
pteraspid|甲胄鱼
propertyless|无财产的
pansied|潘西(女子名)
provitamin|维生素原
polyphyodont|(鱼类或低等脊椎动物)多换性齿的
pompoms|大型机关炮
photoplay|电影剧本, 故事影片
pianofortes|钢琴（旧称）( pianoforte的复数形式 )
phot|辐透
pulpwood|纸浆用木材
paroled|假释, 使获假释( parole的过去式和过去分词 )
prospectus|创办计划书, (内容)说明书, 内容简介
prednisolone|氢化泼尼松, 强的松龙, 去氢氢化可的粉
pondok|<南非><贬>芦棚,茅棚
pseudopodial|pseudopod的变形
paeans|赞歌, 凯歌( paean的复数形式 )
prosimian|& n.[动]原猴亚目的(猴)
proofness|[计] 验证, 证明
pantophobia|[心理]万物恐怖
prefreeze|预冷冻
parboiled|煮半熟, 使过热( parboil的过去式和过去分词 )
preauricular|[医] 耳前的
plugs|插头；栓塞, 插塞（plug的复数）
politicos|(politico 的复数) n. 政客
phloxes|(phlox 的复数) n. 福禄考
proboscises|（象等的）长鼻( proboscis的复数形式 ); （昆虫等的）喙
palavers|<口>废话, 空话( palaver的名词复数 )
plastometry|塑料测定法; 塑性测定法
priapus|[希、罗神]男性生殖神(酒神和爱神之子)
pythias|(罗马民间传说中的)皮西厄斯(与其友Damon为生死之交)
pedophilia|恋童癖
psychomotor|精神运动的
parcidentate|少齿的
paeonia|芍药属
plumbagin|[化] 石苁蓉萘醌; 蓝雪醌; 矶松素
plenipotent|& n.<罕> = plenipotentiary
protons|质子( proton的复数形式 )
premiums|费用( premium的名词复数 ); 保险费; 额外费用; （商品定价、贷款利息等以外的）加价
pir|蛋白序列数据库（Protein Identification Resource）；聚三聚氰酸酯
pulpectomy|[医] 牙髓摘除术
parsoned|教区牧师；堂区长；有俸禄的牧师；[口语](尤指新教的)教士；牧师
parabolical|寓言的, 比喻的, 抛物线的, 抛物线状的
plessor|敲诊槌, 叩诊槌
polymerism|聚合, 聚合现象
platyctenea|[网络] 扁栉水母目
pipistrelle|伏翼
pediform|脚形的, 足状的
palp|触须, 须肢
phytophagic|[动物学]食植物的, 食叶类的, 食草的
pata|太平洋地区旅游协会（Pacific Area Travel Association）
peerages|（统称）贵族( peerage的复数形式 ); 贵族的爵位
picariae|[网络] 皮亚西亚
preprinted|[计] 预印的
piller|[美]药剂师, 药商, 小球, 小丸, 小药丸
polyantha|[植]多花蔷薇(亦作polyantha rose)
palters|讨价还价( palter的第三人称单数 ); 含糊其辞; 敷衍了事; 儿戏般对待
psychotogen|致精神病药物, 致精神错乱药物
peristyles|(peristyle 的复数) n. 周柱列, 周柱廊, 周柱中庭
preannounce|预告, 事先宣布
pardoned|宽恕( pardon的过去式和过去分词 ); 原谅; 赦免; 特赦
pseud|假装高人一等的人, 假内行
pank|[人名] [英格兰人姓氏] 潘克来源于中世纪教名Pancras 的简称，含义是“全+征服”(all,every+to conquer,subdue)
pariahs|被社会遗弃者( pariah的复数形式 ); <史>贱民
pyridine|[化]嘧啶(治喘病用)
putout|出局
polska|波兰
prosaicness|[网络] 平淡无味
perionychium|[解]甲周皮, 甲周表皮
piet|多嘴之徒；饶舌的人
protonymph|[动]第一若虫( 指幼螨)
pentimento|[绘]经过修改或颜料遮盖的原来笔画[图象]之再现
palisading|[医]栅栏样的
poring|细看（pore的现在分词形式）
pedigreed|纯种的, 有系谱的
paludicole|居于沼泽的；在沼泽中出没的
palmettos|(palmetto 的复数) n. 美洲蒲葵
paralogized|作谬误推论
pityroid|[医]糠状的
pinkos|有左倾政治思想的人, 左倾分子( pinko的名词复数 )
phytotoxin|[化]植物毒素
perovskite|钙钛矿
petrifying|吓呆, 使麻木( petrify的现在分词 ); 使吓呆, 使惊呆; 僵化
polymorphous|多种形式的, 多功能的, 多形态的
papillous|乳头状的
procaviidae|蹄兔科
picofarad|微微法
phenoquinone|苯酚合苯醌
photomap|照相地图, 星球图
prexy|(学院)院长, (大学)校长
penthoused|小棚屋；(尤指靠在大楼边上搭的)披屋；屋顶房间；(豪华的)顶层公寓
painkiller|解痛药, 止痛片, 止痛药
panicled|[医]具圆锥花序的
pari|帕里（球员名）；德国百瑞（公司名）
populousness|人口稠密
phonemics|音位学, 音位系统
pavier|铺料机, 铺砌工
phanerozoic|[地](由古生代、中生代和新生代构成的地质年代)显生宙的
photoma|[医] 闪光
plumieride|[化] 鸡蛋花苷
pylorospasm|[医]幽门痉挛
pyrogravure|烙花术
populists|(Populist 的复数) n. 民粹派的成员
pluralizer|pluralize的变形
philanders|调戏, 玩弄女性( philander的第三人称单数 )
plasmic|原生质的
procedurally|procedural（程序上的）的变形; 程序上地
promotable|promote（促进；增进）的变形
pavonine|孔雀似的, 五彩缤纷的
prebendary|受俸牧师
positiveness|信心；肯定
punctilio|细节, 拘泥形式, 拘束
preatomic|原子时代前的, 原子能利用以前的
palpitated|（心脏）悸动( palpitate的过去式和过去分词 ); 突突跳; 急速地跳动; 颤抖
prem|(Prem)人名；(泰)炳；(德、西、罗、捷、印、尼、毛里求)普雷姆
perforce|必然地, 只得
pieplant|食用大黄
phytology|植物学
perse|紫黑色的；深灰色的；深蓝色的
paludal|沼泽地的, 多沼泽的, 疟疾性的
pulicide|灭蚤剂
philanthrope|慈善家
piggishness|piggish的变形
paragnathus|[医] 颌旁寄生胎
paupers|穷人( pauper的复数形式 ); 贫民; 贫穷
prorhinal|鼻前的
proofreader|校对者
phonophore|报话合用机
pediceled|【植物学】花梗；果梗, 柄；蒂；小花梗
plainer|[方]等于complainer
promethean|普罗米修斯的, 勇于创造的
primness|循规蹈矩, 整洁
pangi|马来亚大风子树
pyrite|黄铁矿
packery|罐头工厂,食品加工厂,屠宰加工厂
periglottis|[医] 舌粘膜
plonko|<澳俚>饮酒过度的人,酒鬼
paraesthesia|[医]感觉异常(指皮肤上无客观原因的异常感觉)
prefects|级长( prefect的复数形式 ); 监督生; 高级行政长官; 警察局长
polygamia|杂性纲
psittacosis|鹦鹉热
proviso|附文, 附带条件, 限制性条款
premonitions|预感, 预兆( premonition的复数形式 )
placodont|盾齿龙
proportional|比例的, 相称的
pistons|<机>活塞( piston的复数形式 )
pterygia|翼状胬肉；翅后基叶；鳍 (pterygium的变形)
psyched|激动的
pleuron|(节肢动物的)侧板
pickier|挑剔的；吹毛求疵的 (picky的变形)
passivation|钝化
peliosis|[医] 紫癜
pooftah|<澳俚>脂粉气的男子,搞同性恋的男子
puky|令人恶心的,令人厌恶的
procurvation|[医] 前弯, 前屈
platinode|伏打电池的阴极
poros|劣等石灰石
parenticide|[法] 杀亲罪, 杀害父, 母罪, 杀亲犯
portunid|梭子蟹
plato|柏拉图
picaninny|<英>< 贬> 黑人小孩, 澳大利亚土著小孩
proletariat|无产阶级
petitions|请愿书；请愿（petition的复数）
pits|凹点；凸面；维修区（pit的复数）
postcritical|超过临界点的
pronograde|[动](四足兽)俯行的
pya|分(缅甸辅币单位)
positional|位置的, 地位的
pupae|pl. 蛹
pointel|菱形铺砌
pinpoints|准确地找出或描述( pinpoint的第三人称单数 ); 为…准确定位
pushdown|推下; 后进先出方式
pylorectomy|幽门切除术
porose|有孔的,多孔的
pinulus|[动]五辐针, 小羽片
prerelease|预映
prelection|讲课, 讲演
