internet|互联网
impeded|阻碍, 妨碍, 阻止( impede的过去式和过去分词 )
intercostal|脉间的
integrality|完整性
insentient|无知觉的, 无生命的
immuration|监禁, 束缚
idolized|将（某人）当作偶像崇拜( idolize的过去式和过去分词 )
incenses|香( incense的名词复数 )
illumed|发( illume的过去式和过去分词 )
infatuation|迷惑, 迷恋, 醉心
itemized|列出清单( itemize的过去式和过去分词 )
introject|(思想,感情,信念等)融合,[心]使他人态度或外界事物形成内心形象
imager|成像器, 图象机
intimal|[医] 内膜的
interradial|[医] 射线间的
insulted|侮辱, 冒犯( insult的过去式和过去分词 )
involucre|外皮, 包膜
impastation|着色浓厚,用浆糊封涂
indurate|使硬化, 使无感觉, 使确立
intraxylary|在木质内部的
imidazole|[化]咪唑
insurgent|谋叛的, 起义的, 澎湃的
iconolater|圣像[偶像]崇拜者
iodhydrate|[医] 氢碘盐酸
ideologize|以意识形态解释, 作思想分析
invasions|武装入侵( invasion的复数形式 ); （尤指烦扰的）涌入; 侵犯; 干预
inflater|[体]充气机
integraph|[数]积分仪,积分器
ingrown|向内生长的, 生进肉内的, 天赋的
intermixed|（使）混和, （使）混杂( intermix的过去式和过去分词 )
ish|国际高血压联盟（International Society of Hypertension）；单纯收缩期高血压（Isolated Systolic Hypertension）；原位杂交（In Situ Hybridization）
intercupola|圆顶夹层
indane|[化] 2,3-二氢化茚; 茚满(曾称)
interculture|间作作物
initializing|[计] 初始的
inviscation|[医] 食物混粘液[作用]
intangibles|[法] 无形物
irroration|irrorate, irrorated的变形
inhalant|吸入剂, 吸入器
immenseness|广大, 巨大, (非正式)极好
infraction|违反, 侵害
invites|邀请( invite的第三人称单数 ); 请求; 引诱; 招致
ingrain|给原纱染色, 使根深蒂固
insularly|孤立地
isohaline|[海洋]等盐(度)线
immanence|内在, 无所不在
inleak|漏入,渗入
involutes|(involute 的复数) a. 纷乱的, 复杂的, 内卷的
incorruption|不腐败, 清廉
immensities|巨大；无限；广大
immanentism|内在论
intimidated|恐吓; 威胁
issueless|无子女的, 无结果的
ineffaceable|不能消除的, 不能抹掉的
iliocostalis|[解]髂肋肌
inkpots|(inkpot 的第三人称 -s形式) n. 墨水壶
inerrancy|无差错
idiostatic|同(电)位差的, 同势差的
inarguable|不容争辩的, 没有疑问的
immerses|浸；沉湎于
isotropy|[计] 各向同性
infirmity|虚弱, 病身, 疾病
incertain|adj. 可疑的；不确定的
illumining|照亮, 照明( illumine的现在分词 ); 启发
ilexes|(ilex 的复数) n. 冬青属植物
isothermally|等温地
infuriating|令人大怒的
intrapelvic|[医] 骨盆内的
inspective|检查的,视察的,留神的,注意的
inconnection|内连接
ideography|表意文字研究, 表意文字使用
indigogen|[医] 靛原, 靛白
incursive|流入的, 侵入的
instills|(instill 的第三人称 -s形式) vt. 滴注, 慢慢地灌输
intarsia|木造镶嵌细工
ipecacuanha|吐根, 吐根树
isothere|[气]等夏温线
illeism|(英语第 三人称代词“he”的)过多使用(尤其指提到说话人自身时)
interjecting|（突然）插入, 插话( interject的现在分词 ); 打断
irrefragably|irrefragable的变形
inappositely|不适切地
inhumation|埋葬, 土葬
interchurch|各教会间的,各教派联合的
indigometer|靛蓝计
inflicter|加害者, 惩罚者
isochore|[化] 等容线
incremented|(increment 的过去分词) n. 增加, 增值, 盈余
inviolable|不可亵渎的, 不可侵犯的, 神圣的
instrumented|装有导航仪器的
interlobar|[医]叶间的
ingrafts|接枝, 嫁接；灌输
immixture|混合, 卷入
inquisitress|女审讯者, 女检查官
impleader|控告者, 起诉者
inspirer|启发灵感、鼓舞（或激励）人心的人
interlocker|连锁装置, 连续者, 联锁器, 联锁握柄
iodohydric|[医] 氢碘的
inmesh|(=enmesh)使...陷入,使...绊住
inexpectant|未预期的, 不期待的
imposer|拼版工人
icicles|冰柱( icicle的复数形式 ); 树挂; 银笋
ichthyophagy|食鱼, 以鱼为食
insheathe|把…插入鞘内,把…放入套中(亦作insheath)
islanders|岛民( islander的复数形式 )
isoapiole|异芹莱脑, 异洋芫荽脑
indult|特许, 特惠
isobornyl|异冰片基
intromitted|使进入, 插入( intromit的过去式和过去分词 )
iliacus|[医] 髂肌
impetuosity|狂暴, 猛烈, 性急, 冲力
inquisitory|[网络] 好奇的
ironsides|勇敢刚毅的人；铮铮硬汉; [I][历史]硬汉埃德蒙(英格兰国王埃德蒙 Edmund II的绰号); [英国历史]铁甲统帅(克伦威尔 Oliver Cromwell 的绰号)；克伦威尔铁甲军；劲旅
iconometer|光像测定器,量影仪,直视取景器
inebrious|喝醉的, 醉的
inembryonate|无胚的
ingulfment|ingulf的变形
inspan|套轭于, 套牛马于车
indurated|[医]硬结的
indone|[化] 二氢茚酮
impetrating|祈求, 祈求得到( impetrate的现在分词 )
ineloquently|ineloquent的变形
indecencies|下流, 不适当, 猥亵( indecency的名词复数 ); 丑行
inpour|流进, 流入
ila|International Longshoremen's Association国际码头工人联合会
inexhausted|未用尽的
infestant|infest的变形
iodoprotein|[生化]磺蛋白
importunator|importunate的变形
intromitter|intromit的变形
insistently|坚持地, 强求地
intertexture|交织, 编织, 交织物
isocyano|异氰
intermeddle|干涉, 管闲事
isostatic|均衡说的
isacoustic|[物]等声强的, 与等声强有关的
idiocrasies|癖好；特性（等于idiosyncrasy）
iceblink|冰原反光
inconsumable|烧不尽的, 消耗不掉的, 非消费性的
incarial|[医] 印卡人的
irk|使厌倦, 使苦恼
intrabuccal|[医] 口内的, 颊内的
isolysis|同种溶解, 同族溶解
incentively|incentive的变形
immersing|使浸入( immerse的现在分词 ); 使沉浸于, 使深陷于; 沉浸在
innings|局, 回合, 盘, 一局, 当权期间
interspersal|散布或点缀其间
inflexion|弯曲, 曲折, 变音, 音调变化, 转调, 屈折变化, 屈折变化形式, 回折点
innumerate|& n. 不懂数学和自然科学的（人）, 数学[科学]盲（的）
inbreathing|吸入( inbreathe的现在分词 )
impedor|产生阻抗的电路元件, 阻抗器, 二端阻抗元件
isodynamia|[医] 等力, 等热力
infolding|[医] 内折
interlinking|[计] 链接, 互连, 链环, 连系
irritancy|刺激
inductometer|电感计, 亨利计, 可变电感器
infector|传播者, 传染者
irriguous|可灌溉的
inadmissible|不许可的, 不能承认的
ineffable|无法形容的, 不可言喻的, 避讳的
interradius|间步带, (无脊椎)间辐
intentness|热心, 一心一意, 心无旁物
introvision|[医] 内省, 自省
inventer|发明者, 发明家
ironers|(ironer 的复数) n. 烫衣者(工具)
institutor|设立者, 制定者, 创立者
inexistent|不存在的
inexplicably|说不清
intrasellar|[医] 蝶鞍内的
interpoint|双面盲文印刷
infielder|(棒球)内野手
intermat|[纺]易于缠结的
inmeshing|使…陷入；使…绊住（等于enmesh）
incessancy|不间断性
inv|INV=invoice （外贸）; [医][=inferior nasal vein]下鼻静脉
isonuclear|同核的
iatrology|医学, 治疗学
intorsion|(=intortion)[植](茎的) 螺旋形盘绕, 绕缠, (象植物茎那样的)卷绕、弯曲或扭绞, 内转
isagoge|绪论, 序言
infight|近击；暗斗
impostor|冒名顶替者, 骗子, 冒牌
inconcinnity|不适合, 不调和
isonomic|[医] 同系列的
idealized|理想化的
isoperimeter|等周图形(尤指等周几何图形)
iseult|伊索尔特（女子名, 等于Isolde）
inaneness|inane的变形
impurely|污染地, 不纯地
insincere|不诚实的, 无诚意的, 伪善的
illuvial|[地] 淀积的
indecisively|优柔寡断地
inequable|不一律的, 不均匀的, 不公允的
inveterately|根深蒂固地, 积习地
inaudibly|听不见似地
ichneumon|埃及蠓
impurities|杂质（impurity的复数）
incommutably|incommutable的变形
insecticide|杀虫剂
incohesive|无内聚力的
ikebana|插花(术), 花道
isogamic|同形接合的
infirmation|否定, 推翻(论点)
introit|应答轮唱圣诗, 圣餐式前所唱的赞美歌
ivorine|颜色和质地类似象牙的物质
instigator|煽动者
inflections|变音, 转调( inflection的复数形式 )
indistinct|不清楚的, 朦胧的, 难以清楚辨认的
illumes|发（illume的第三人称单数形式）
impends|进行威胁, 即将发生( impend的第三人称单数 )
indignly|indign的变形
irrefutably|不能反驳的
iodin|碘, (非正式)碘酊
inseparables|(inseparable 的复数) a. 不能分的
inherency|固有, 天赋
ichthyodont|鱼牙化石
inconsistent|不一致的, 易变的, 前后矛盾的
inexpiate|未赎的, 未抵偿的
infatuates|冲昏头脑（infatuate的第三人称单数形式）
interatrial|心房间的
investible|可供投资的
interwinding|中间绕组
imparadise|使登天堂, 使狂喜, 使成乐园
iodizer|iodize的变形
inexpressive|不表现的, 无表情的, 无表示的
infarctions|(infarction 的复数) n. 血块的构成
infantlike|infant的变形
interastral|星际的
illaqueate|[医] 拔除倒睫
inductee|应召入伍的士兵
imposure|<罕>征税,强加义务(或负担)
iranians|伊朗人（Iranian的复数形式）
installments|部分( installment的复数形式 )
isoelectric|等电位的, 零电位差的
indelicacy|无教养, 不雅
imposthumate|,vi. imposthume的变形
imprecision|不精确；不严密
integrator|综合之人, 积分电路, 积分器
inanimately|无生命地(inanimate的变形)
isomaltose|异麦芽糖, 6-葡糖-α-葡糖苷
insertable|可插入的
inspirit|激励, 使振奋
interlope|闯入, 干涉, 无执照营业
informedly|informed的变形
interdiction|禁止, 停止, 阻断
impale|刺穿, 使绝望, 钉住
ironman|钢铁人；钢铁侠
inbreed|使同系繁殖, 使近亲交配, 使内部生成
integrative|综合的, 一体化的
ibidine|朱鹭的
ionophore|[生化]离子载体
introversive|内向的, 内省的, 内翻的
iodohydrin|[化] 碘醇; 碘代醇; 磺乙醇
illiquid|不能立即兑现的, 无流动资金的
itemizes|列出清单( itemize的第三人称单数 )
immobilized|使不动, 使固定( immobilize的过去式和过去分词 )
informs|运筹学和管理学研究协会（Institute for Operations Research and the Management Sciences）
idolise|vi. 把...当偶像崇拜, 崇拜偶像, 过度崇拜, 偶像化
impoundments|蓄水；扣留
incriminate|连累, 暗示...有罪, 控告
immedicably|immedicable的变形
interkinesis|[生]分裂间期, 减数分裂间期
infusions|沏或泡成的浸液（如茶等）( infusion的复数形式 ); 注入, 注入物
infatuated|迷恋着的, 昏头昏脑的
isallobaric|等变压的
indican|[化]糖苷
inverter|倒转者, 换流器, 反相器
inlacing|缠绕（等于enlace）
illuminati|先觉者
implantation|移植, 鼓吹, 灌输
involute|纷乱的, 复杂的, 内卷的
inhibitions|抑制( inhibition的复数形式 ); 顾虑; 抑制力; [生]（酶的）抑制作用
ipsilateral|[医] 同侧的
inomyxoma|[医] 纤维粘液瘤
incoherence|无凝聚性, 松散, 支离破碎, 不连贯, 语无伦次, 无条理
ibexes|野生山羊( ibex的名词复数 )
inexistence|不存在
inexcusable|没法辩解的, 不可宽赦的
itea|[地名] [希腊] 伊泰阿
impressing|印( impress的现在分词 ); 给…以深刻印象; 使钦佩; 使意识到（重要性或严重性等）
interpose|使插入, 使介于二者间, 使干涉
intwinement|盘绕 (intwine的变形)
intersertal|斑状晶间的, 填隙的
isocyclic|[化]等节环(型)的, 同素的, (尤指)碳环型的(=carbocyclic)
immortalizes|使永恒( immortalize的第三人称单数 ); 使不灭; 使不朽; 使名垂千古
inferrer|推测者, 猜想者
isnt|原位缺口平移（In Situ Nick Translation）
impecunious|没有钱的, 身无分文的, 贫穷的
improvident|无远见的, 浪费的
indicium|indicia的单数
iterating|重复( iterate的现在分词 ); 反复申明
implements|甪具；工具（implement的复数）
irrationals|(irrational 的复数) n. 无理数
interspatial|层际空间的
interacted|相互作用[影响], 互相配合( interact的过去式和过去分词 ); 交流; 沟通; 合作
idiomorphic|[矿]自形的, 整形的
iconograph|插图, 图示
incoagulable|无法凝结的, 无法凝固的
intravital|[生]活体的, 发生于活体内的, 作用于活体的
inculpate|使负罪, 控告, 使连累
instigates|使（某事物）开始或发生, 鼓动( instigate的名词复数 )
internodal|[计] 节点间的
interplead|(使)交互诉讼
immaturely|不成熟地
irrecusably|irrecusable的变形
insolubilize|[化]使不溶解
isopogonous|[动]同行羽的, 等瓣羽的
icteridae|[网络] 拟黄鹂科；拟鹂科；拟椋鸟科
introscope|内腔检视仪, 内壁检验仪, 内孔窥视仪
icterus|黄疸
illium|镍铬合金
integrally|完整地, 固有地
induplicate|[植](花叶的)内向镊合状的
iridization|[医] 虹视, 虹晕感觉(青光眼)
interseptal|[生]隔间的
impresting|(尤指政府基金的)预付款, 预支款；[英国英语](旧时发给应征入伍士兵的)预付饷银
icebreaker|碎冰船, 破冰设备
impugned|非难, 指谪( impugn的过去式和过去分词 ); 对…有怀疑
itinerants|巡回者（如传教士、行商等）( itinerant的复数形式 )
isozyme|[生化]同工酶 , 同功酶
irritant|刺激的, 刺激性的
interpolable|interpolate的变形
ipilipil|银合欢
idyll|叙事诗, 田园景色, 田园诗, 田园乐曲, 牧歌
interacting|[计] 相互制约
instanter|即刻, 马上
insolates|暴晒（insolate的第三人称单数形式）
interdentil|齿饰间距(檐口下齿形装饰之间的空间)
inspirers|(inspirer 的复数) n. 启发灵感、鼓舞（或激励）人心的人
icosahedral|二十面的
incorrupted|纯洁的；(道德)高尚的, 正直的；廉洁的；不腐败的；不受贿赂的
iceless|ice的变形
isobilateral|二侧相等的
instigating|使（某事物）开始或发生, 鼓动( instigate的现在分词 )
immolate|为供神而宰杀, 牺牲, 杀死
imperials|厚绒布
impairs|损害, 削弱( impair的第三人称单数 )
intersexes|(intersex 的复数) n. 阴阳人, 兼具两性特征者
incumbrance|阻碍物, 累赘
innervated|[医]神经支配的
immaculacy|无污点, 纯洁
ichorrhea|[医] 败液溢
interposer|[计] 插入器, 插入机构
intagliated|凹雕的
indaconitine|[化] 印乌头碱
inspectors|检查员( inspector的复数形式 ); （英国公共汽车或火车上的）查票员; （警察）巡官; 检阅官
interwind|vi. (使)互相盘绕, (使)互卷
interrecord|[计] 记录间
ingesta|摄取的营养物
incubi|梦淫妖( incubus的名词复数 ); 噩梦; 像噩梦压迫着人的事物; 精神压力
interspinous|[解]椎间的, 棘突间的
insanest|insane（疯狂的）的最高级形式
intumescence|膨胀, 肿大
infundibula|infundibulum的复数
intoner|吟诵者
invocatory|祈求的, 祈愿的
intersporal|孢间的
indeformable|不变形的
interludes|（戏剧、电影等的）中间休息( interlude的复数形式 ); 幕间休息; 两事件的时间; 某事过程中发生的事件或片段
irremissible|不可宽恕的, 无法逃避的
inductance|电感, 感应系数
inexcusably|无法原谅地
isoheptane|异庚烷
iteming|条款, 项目；一则
infixing|把…印入；把…插进
infusive|令人兴奋的, 有影响力的
interlibrary|(图书馆)馆际的
inconscious|无意识的
immunized|使免疫（immunize的过去式与过去分词形式）
isometrics|[化] 管道安装图
inappetency|食欲不振, 欲望缺失
isopterous|[昆]等翅目的
inappeasable|难平息的, 难满足的
impoverish|使贫穷, 耗尽...的力气
insinuated|暗示( insinuate的过去式和过去分词 ); 巧妙或迂回地潜入; （使）缓慢进入; 慢慢伸入
incognizable|不可认识的, 不可知的, 不可辨别的
imperilling|使陷于危险, 危及( imperil的现在分词 )
infraclusion|[医] 低Ж, 低咬合
isis|（美）废钢铁协会（Institute of Scrap Iron and Steel）；综合科学情报服务（Integrated Scientific Information Service）
imped|顽童, 小淘气；小孩
intellection|思维作用, 思考, 观念
isoparaffin|[机] 异链烷烃
israelis|以色利人; 以色列人, 以色列国民( Israeli的复数形式 )
indwell|存在于
inurning|把骨灰装罐, 埋葬( inurn的现在分词 )
interannular|[医] 环间的
ineptly|不适当, 不符合要求, 不恰当, 不合场面, 笨拙, 愚蠢, 无能, 不称职
impassioned|充满激情的, 狂热的, 热烈的
impedient|阻碍物
insouciantly|漫不经心地
inbounds|（篮球中）从界外掷入界内的
interfuse|(使)混入, (使)混合
inoxidizable|不能氧化的
interferers|(interferer 的复数) 干涉
innumerably|数不清地;无数地
internments|拘留；收容
impennes|楔翼总目；楔翼超目；企鹅总目
indispose|使厌恶, 使不适当, 使不能
interlocks|联动装置
intrados|拱腹(线), 拱之下面, 内弧面
imperia|(=imperium)统帅权, [律]统治权,(包括用国家力量推行法律的权力)司法权
inez|伊内兹(f.)
inveterate|根深的, 成癖的, 积习的
immatures|(immature 的复数) a. 不成熟的, 未完全发育的, 粗糙的
instillment|慢慢灌输, 滴入
induing|授予, 赋予( indue的现在分词 )
impregnated|灌注, 使饱和( impregnate的过去式和过去分词 ); 使怀孕
intersexual|两性间的
isiac|Isis的变形
inventoried|编制…的目录（inventory的过去式与过去分词形式）
impatiently|不耐烦, 忍受不了, 急躁, [表]急欲, 急切
intrastromal|[医] 基质内的
intestacy|未留遗嘱而死亡
ironstones|(ironstone 的复数) n. 铁石, 含铁矿石
interlaid|插入中间, 插于中间装饰( interlay的过去式和过去分词 )
inversive|反向的
impawned|抵押, 典当, 立誓（忠诚等）( impawn的过去式和过去分词 )
infixes|把…印入；把…插进
interframe|[计] 帧间
invalidation|无效, 失效
isopentyl|[化]异戊基
imposters|(imposter 的复数) n. 冒名顶替者, 骗子
inspirits|激励( inspirit的第三人称单数 )
incor|[医][=incorporated]合并的，结合的，公司，团体
imperialists|帝国主义者( imperialist的复数形式 )
indwelt|（精神、原则等）永存( indwell的过去式和过去分词 ); （精神上）存在; （导管、针等长期在体内）置留
instating|任命, 安置( instate的现在分词 )
imparlance|商议, 谈判, [律]...和一
intercompany|公司间的
ingestant|食入物
isopetalous|同花瓣的
incompleted|未遂
intraoral|口内的
idrialine|绿地蜡
infringe|破坏, 侵犯, 违反
isocardiidae|同心蛤科
intrusts|信赖, 信托, 交托
interfacial|界面的
interplays|(interplay 的复数) n. 互相作用, 互相影响
influenzal|[医] 流行性感冒的, 流感的
imprenable|难攻下的, 难攻破的, 难攻克的, 难攻陷的
iliac|髂骨的, 回肠的
impeacher|impeach的变形
infantes|（西班牙、葡萄牙非王位继承身份的）王子，亲王( infante的名词复数 )
imploringly|恳求地, 哀求地
impediments|妨碍、阻碍某事物进展或活动的人或物( impediment的复数形式 ); 身体上的某类残疾, 缺陷
inscriptions|（作者）题词( inscription的复数形式 ); 献词; 碑文; 证劵持有人的登记
incitant|刺激的, 兴奋的
ictus|强音, 扬音, 猝发
intermezzos|(intermezzo 的复数) n. 插曲, 幕间剧, 间奏曲
iterant|重复的,复述的
isodurene|[化] 异杜烯; 1,2,3,5-四甲基苯; 偏四甲苯
iodimetry|[化](用硫代硫酸钠为滴定剂的)滴定碘法, 碘定量法
immersible|可浸入的, 可没入的
indignity|侮辱
itala|(Itala)人名；(西、葡)伊塔拉
imprecations|<正>诅咒( imprecation的复数形式 )
iodinophil|[医] 嗜碘的, 嗜碘细胞, 嗜碘体
inducers|(inducer 的复数) n. 引诱者, 诱导物
inducive|[网络] 诱导性
interrogated|询问( interrogate的过去式和过去分词 ); 审问; （在计算机或其他机器上）查询
insatiably|贪得无厌地；无法满足地
infrasonics|次声学
iridotomy|[医]虹膜切开术
inductively|归纳地, 诱导地
iridizing|以铱覆盖
insectile|昆虫的, 似昆虫的,由昆虫组成的
irisin|[化] 鸢尾素
intermezzo|插曲, 幕间剧, 间奏曲
ionogen|[化]离子原, 可离子化的基团, 电解物( 质)
irremediably|无法补救地；无可救药地
imperialized|帝国主义化, 帝制化
inamoratas|(inamorata 的复数) n. 情人, 姘妇
isotonia|等张性
inculture|没教养, 没文化, 不开化
isopulegone|[化] 异蒲勒酮; 异胡薄荷酮
ironmaking|炼铁
iota|希腊字母第9位(I,L), 极微小
itinerary|旅程, 旅行指南, 游记
infamizing|使声名狼藉
icepick|破冰镐, 冰锥
inoculating|[计] 籽的
insensitive|对...没有感觉的, 感觉迟钝的
ima|[医] 最下的
ignoble|卑贱的, 卑鄙的, 低级的
imbrues|（尤指以血）玷污, 把…浸, 使充满（imbrue的第三人称单数形式）
iarovization|(=vernalization)春化(作用), 春化处理
isoelastic|[物]等弹性的
inobservant|不注意的, 疏忽的, 不遵守的
impersonator|演员；模拟艺人
interlard|使混杂, 混入
incunabulum|最初期, 古版书
imbitterment|imbitter的变形
ingratiated|讨好, 谄媚( ingratiate的过去式和过去分词 )
invidia|[网络] 嫉妒；蛇剑的女性嫉妒；妒忌
iberite|伊比利石, 青块云母
inerrant|无误的, 确实的
interdictor|封锁舰
inundation|淹水, 洪水, 大水
ingush|英古什人(居住在北高加索山区的穆斯林民族)(亦作Ingoush)
indicatively|指示地, 表示地
intoning|吟诵, 吟咏( intone的现在分词 )
inobtrusive|客气的, 谦虚的,不冒失的
isoclines|等倾线
irreligious|无宗教的, 反宗教的, 无信仰的
ichthyofauna|鱼类区系,鱼类区域志
incurably|治不好地, 不能矫正地
illimitable|无限的, 无边际的
indite|写成文章, 创作
integrates|使一体化( integrate的第三人称单数 ); 使整合; 使完整; 使结合成为整体
inspissator|[化] 蒸浓器
intimation|暗示, 提示, 通知
ichthyodea|鱼螈亚目
interpreters|解释器；直译程式；解释程序；口译者（interpreter的复数）
invigorative|有精力的, 强壮的, 激励的
intensifying|加强；加紧, 加剧；增强（intensify的现在分词）
inconsonant|不调和的, 不和谐的, 不一致的
inobservance|不注意, 疏忽, 不遵守
inviolate|未亵渎的, 未受侵犯的, 无污点的
intermits|中断（intermit的第三人称单数形式）
injunction|命令, 禁令, 劝告
idols|偶像（idol的复数）
isethionate|[医] 羟乙基磺酸盐
inconsonance|不调和, 不和谐
inconel|[化] 因钢; 因科内尔铬镍铁合金
imprimaturs|出版许可, 认可( imprimatur的名词复数 )
intercepter|扼流板
instated|任命, 安置( instate的过去式和过去分词 )
incisively|敏锐地, 激烈地
intonates|吟唱, 发音调（intonate的第三人称单数形式）
ixodes|[医] 硬蜱属
instantiated|实例化（instantiate的过去分词）；具现化, 实体化
illusions|错觉( illusion的复数形式 ); 幻想; 错误观念; 假象
indigenously|本土
istiophorus|[网络] 旗鱼属
infiltrator|渗入者
insense|失去理智的, 精神失常的, 不通情理的；狂妄的, 轻率的；奇特的, 怪诞的
immunizes|使某人免疫( immunize的名词复数 )
investigates|调查( investigate的名词复数 ); 审查; 侦查; 研究
illnesses|（身体或精神上的）疾病( illness的复数形式 ); （某种）病; 患病期
ironwood|铁木
infraorbital|眶下的
insuavity|粗暴, 鲁莽
insalivation|混涎作用
ideogrammic|ideogram的变形
ipomoea|[植]番薯属(Ipomoea)植物(包括圆叶牵牛, 紫花牵牛), 番薯(白薯, 山芋, 地瓜)
illusiveness|幻影, 错觉
intermixes|（使）混和, （使）混杂（intermix的第三人称单数形式）
iliolumbar|[医] 髂腰的
incurve|内曲, 内曲线球
ixodic|[医] 蜱的
indicanuria|尿蓝母尿
injudicious|欠思考的, 不聪明的
iceman|零售冰的人, 制冰的人
inconducive|无益的, 没有帮助的
ionogenic|[医] 离子生成的
impayable|无价的, 无法偿还的
intranuclear|[生]细胞核内的
ising|isinglass 鱼胶
icterode|[医] 黄疸样的
indorsee|(=endorsee)票据的被背书人
inversions|倒置( inversion的复数形式 ); （尤指词序）倒装; 转化; （染色体的）倒位
isallobar|等气压图
introverts|性格内向的人( introvert的名词复数 )
inactivation|灭活, 失效
intromitting|使进入, 插入( intromit的现在分词 )
idiosyncracy|特质
inomyoma|[医] 纤维肌瘤
imber|[人名] [英格兰人姓氏] 英伯住所名称，来源于古英语人名Imma十“圈用地，或湖，池”(enclosure,or lake,pond)
impolicy|失策, 不当
inspectorial|检查员的
ikan|鱼(马来西亚用语,尤指经烹调的鱼)
imbody|(=embody)使肉体化, 拼凑
inscribing|登记；买或卖股票；注册
ischuria|[医] 闭尿
idioreflex|[医] 自发[性]反射
incorrigibly|无法矫正地; 屡教不改地; 无可救药地; 不能矫正地
inveracity|不诚实, 无诚意, 假话
infallible|绝无错误的, 绝对可靠的
illumines|照亮, 照明( illumine的第三人称单数 ); 启发
interhyal|[医]舌骨间的
isogony|[生]等称发育,等称增长
illuminated|被照明的, 受启发的, 加了灯饰的, 加了彩饰的
indelicacies|粗俗( indelicacy的名词复数 )
imbat|地中海东部(如在塞浦路斯)的一种寒冷的季节风
