tree|树
traject|传导, 传达, 通过, 输送
thorniness|多刺
tenters|(tenter 的复数) n. 拉幅机, 拉幅工人
timbering|木材, 木结构
toadstool|伞菌
terzetto|<意>n.[音]三重唱,三重奏[字面意义：trio]
tinderbox|火绒合, 高度易燃物, 容易发火的人
thionin|[化]硫堇,劳氏紫
thoracoscopy|胸腔镜检查
teletube|[电] 影像管
telelens|远摄镜头,长焦镜头
torsiograph|扭力记录仪; 扭振自动记录仪
treadled|踏木, 踏板
tunka|[植]冬瓜
teenyboppers|(teenybopper 的复数) n. 少年颓废派; 少女流行音乐迷; 少女
taus|[医]Transabdominal Ultrasound
thinnish|稍薄的, 有点细的, 有点瘦的
technicon|[音]弹奏技巧练习器
turfing|铺草皮
tanto|太多,那么多,这样
tristearin|[化](三)硬脂酸甘油酯,三硬脂精
trivat|割绒刀
trabeation|[建]横梁式结构,柱顶盘
trickling|[电] 移动
taintless|未玷污的, 纯洁的, 未感染的
transposing|更换；置换
terebene|松节油萜
toxins|毒素( toxin的复数形式 )
trilobate|[植]具三裂片的
trickily|以欺骗手段, 狡猾地
trouped|巡回演出（troupe的过去式与过去分词形式）
twinning|孪生, 成对
tailed|有...尾的, 去掉尾的, 有...状尾的
toxically|有毒地
tentiform|幕形的
transischiac|[医] 坐骨间的
theophobia|对上帝的恐惧
theists|(theist 的复数) n. 有神论者, 一神论者
toadies|谄媚者, 马屁精( toady的名词复数 )
triticum|小麦属植物
tun|大酒桶
tibiofemoral|[医] 胫股的
trioicous|[植]雌花雄花两性花异株的,单全异株的
tisiphone|[希神][罗神]底西福涅(司复仇的三女神之一)
topographies|地形学( topography的复数形式 ); 地形测量学; 地貌
tournedos|tournedos 腓里牛排
trichomatous|[医] 睑内翻的; 纠发病的
tumefied|溶胀的
tees|高尔夫球的发球台（tee的复数）
thyrotomy|[医]甲状软骨切开术, 甲状腺切开术
tussocks|（比周围的草长得密或高的）草丛( tussock的复数形式 )
titubate|蹒跚
trispast|三饼滑车
tydie|兰山雀
triclad|三肠目涡虫, 真涡虫
tchick|催马快跑所发之声
trainbearer|挽裙裾者
tolstoyan|托尔斯泰的信徒,信仰托尔斯泰的人
twitchy|抽搐的, 抽动的, 痉挛性的； 焦躁不安的
tesla|[电] 特斯拉
triptyque|(三联折叠式)汽车临时入境证
turbidly|混浊地, 浓密地
trig|漂亮的, 整洁的, 潇洒的
turquoise|绿松石, 绿松石色
telangiosis|[医] 毛细管病
throughither|<苏格兰>混乱地,杂乱地,乱七八糟地
twitty|[人名] 特威蒂
toes|脚趾（toe的复数）
tristan|特里斯坦（人名）
targe|小圆盾
tarnation|诅咒, 咒骂
triseptate|[生]具三隔膜的
thickeners|增稠剂; 稠化, 增浓过程( thickener的复数形式 )
tackles|用具( tackle的名词复数 ); 滑车; 钓具; 阻截队员
trampoliner|蹦床（杂技表演中翻筋斗用的）；弹簧垫 (trampolin的变形)
thermion|热离子
trochleae|trochlea的复数形式
tagger|垂下物, 尾随者, 薄铁片, 附加物
tarnished|使生锈；沾污
tyrosyl|酪氨酰
tribuloid|被硬毛的
thorned|(thorn 的过去时) n. 刺, 棘, 荆棘
tunic|束腰外衣
truckle|小轮, 滑轮
toniest|高贵的, 时髦的( tony的最高级 )
telegraphy|电报学, 电信术, 电报通讯, 电报机装置
torr|[化] 托
triadelphous|[植]三体雄蕊的
tarantara|喇叭的声响声
torpedoing|用爆破筒爆破
tinamou|鸟类之一种(产于南美洲的一种走禽)
tyg|双柄(或多柄)陶制大酒杯
tricon|Triple Coincidence Navigation （有三个地面台的）雷达导航系统（特利康导航系统）
tamperproof|(机械装置等)可防止乱摆弄的
turbofans|(turbofan 的复数) [机] 轮机式鼓风机
tigella|胚茎
tenue|行为, 举止；服装样式
twanged|用鼻音讲（twang的过去式与过去分词形式）
triatic|由三部形成的
toughie|流氓, 恶棍, 生是非者, 难题, 劲敌
theropoda|兽脚亚目
teniacide|杀绦虫药
tritoxide|[医] 三氧化物
titillates|使觉得痒( titillate的名词复数 ); 逗引; 激发; 使高兴
tigresses|母老虎( tigress的复数形式 ); 凶悍的女人
tiglaldehyde|(=tiglic aldehyde)惕各醛
trochilics|[复]n.[用作单]旋转机械运动学
teacakes|当茶点用的饼干( teacake的复数形式 )
titmouse|山雀
tributyrin|三丁精, 三丁酸甘油酯
trichopteron|石蛾
tachygraphy|速记术
tautonym|[生]重名, 属种同名
turbulency|狂暴, 动乱
triduum|三天, 三日； （天主教教会的）三日祈祷
tripe|肚子
trenching|挖沟, 挖沟工作, 掘壕掩埋法
triclinia|躺卧餐桌, 有此种餐桌的餐室( triclinium的名词复数 )
tierceron|居间肋; 居间肋
thespian|悲剧的, 戏剧的, 悲剧性的
tendinitis|[医] 腱炎
tuberculid|结核疹
teacupfuls|一满茶杯的量
tenting|盖孔法；封孔；斜张天幕；海冰隆起（海冰受挤压拱起成帐幕状）
thrashed|鞭打以示惩罚( thrash的过去式和过去分词 ); 战胜, 完全击败; 乱窜[跳], 辗转反侧; 打谷, 打麦
titers|[人名] 蒂特斯
telepicture|[美]电视的影象
tricalcic|三钙的
tarmac|柏油碎石, 柏油碎石路
tignon|太阳巾
teethes|出牙, 生乳牙（teethe的第三人称单数形式）
trappings|马饰, 服饰, 礼服, 装饰品, 外部标志
thingummy|装置, 小机件, 某人, 某物件, 某东西
tenosuture|[医] 腱缝术
tetrabrach|(古典诗学的)四短格(指有4个短音节构成的音步或单词)
tarry|耽搁, 逗留, 留住, 等候
tattler|说闲话的人, 饶舌, 说长道短的人
turfman|赛马迷
trones|（苏格兰）大型衡器（称大批商品用的）
timorously|胆怯地, 羞怯地
tachycardiac|心动过速的,心搏过速的
towlines|(towline 的第三人称 -s形式) n. 拖绳, 拖缆
triers|实验者( trier的复数形式 )
tetragon|四角形
theirn|[方]=theirs, their own
thickest|浓的
twitchiness|twitchy（痉挛的，抽搐的）的变形
turacou|[鸟]蕉鹃(产于非洲热带森林)
thorntail|[鸟](南美)刺尾蜂鸟
typologic|类型学的, 类型的
tuitionary|讲授的, 学费的
theologist|神学家
timberwork|木结构
thar|塔尔（沙漠名, 位于南亚）
telemachus|[希神]忒勒马科斯(Odysseus 和Penelope之子)
towery|有塔的, 高耸的
tocokinin|[医] 激育素(获自酵母及数种植物,有雌激素的性质)
thatchers|茅屋匠( thatcher的复数形式 )
testability|[计] 可测试性
thelyblastic|[医] 雌性原核的
tweese|以镊子除去, 以钳子拔除
tuscany|托斯卡纳区（意大利行政区名）
triglyceride|甘油三酸酯
thrustful|有强大推进力的,劲头十足的, 积极进取的
turgidness|肿胀;夸张;夸大
tetragonous|四棱的
trysail|斜桁纵帆
turfmen|赛马迷( turfman的名词复数 )
tapestries|挂毯( tapestry的名词复数 ); 绣帷, 织锦
tetanoid|破伤风状的, 强直样的
treacliness|[化] 粘性; 粘滞性; 粘度; 粘滞度
trivialism|琐碎, 平凡
triazo|[化] 叠氮基
tetanism|[医] 破伤风样病, 假破伤风
trimeter|三音步
triturium|[医] 分液器(分离不同密度的液体)
toasting|向…祝酒, 为…干杯( toast的现在分词 ); 烤火, 取暖, 使暖和
turvy|颠倒
trophothylax|(蚁幼虫)滋养袋
trenchers|(trencher 的复数) n. 挖沟者, 木盘
timed|时控的；定时的, 同步的
tinware|洋铁(锡)细工
tylarus|有垫的
taurin|象公牛的, 金牛座的
trypanolysis|[医] 溶锥虫
thence|从那时起, 从那时以后, 从那里起, 由此, 因此
tubercled|生有结节的
tallowwood|西门木, 近缘的乔木
trouty|有许多鲑鱼的, 有许多鳟鱼的
trusties|(trusty 的复数) a. 可信任的, 可信赖的, 可靠的
treasons|(treason 的复数) n. 叛逆, 不忠, 叛国罪
trifled|轻视, 小看( trifle的过去式和过去分词 )
tatarian|阶
tiptoe|脚尖
telephoned|以电话传送（消息）, 给（某人）打电话( telephone的过去式和过去分词 )
tendomucin|[医] 腱粘蛋白
tapas|（西班牙餐馆的）餐前小吃
tubbish|桶状的, 肥胖的
tiltmeter|倾斜计
thiazine|[化]噻嗪,硫氮杂苯
taenicide|杀绦虫药
tads|Tactical Automatic Digital Switch 战术自动数字转换开关; Target Acquisition and Designation System 目标获取与指示系统
thaumatrope|幻影转盘, 西洋镜
tuffet|小土墩
thinnest|薄的, 瘦的
toadying|拍马, 谄媚( toady的现在分词 )
trimyristin|三肉豆蔻酸甘油酯, 三肉豆寇精
tweaked|拧（tweak的过去分词）
tenonostosis|腱骨化
turcoman|土库曼人, 土库曼语
trichophyton|[医] 发癣菌属, 毛癣菌属
trilobated|三裂片的
tricuspid|三尖的
tymbal|(=timbal)铜鼓, (蝉的)鼓室
traducingly|traduce的变形
tuberculoid|结核节状的, 结核病状的
tarsoplasia|[医] 睑成形术
terminated|& vi. terminate的过去式
trinchera|[地名] [阿根廷、巴拿马、美国] 特林切拉
thoroughwort|[植]贯叶泽兰
thimblefuls|（酒等的）极少量( thimbleful的名词复数 )
tuneup|调整,准备,预演
tarin|黄雀
thymegol|邻硝基对百里酚磺酸汞钾
trunking|[信]中继
taxmen|(taxman 的复数) 收税员,税收检查员
trinket|小件饰物, 无价值的琐碎东西, 小玩意儿
tandoori|唐杜里烹饪法,泥炉炭火烹饪法(一种印度烹饪法)
toponymist|地名学家
transposable|可换位的, 有换位可能的
tootsies|小脚, 脚趾
tenderized|把（肉）捶得很软, 把（肉）嫩化( tenderize的过去式和过去分词 )
toper|豪饮者, 酒徒
tubicola|管毛目
transients|暂住某地的人, 过往旅客, 临时工( transient的复数形式 )
topkick|第一中士
tanacetin|艾菊苦素
typhosis|[医] 伤寒样症状, 伤寒状态
trapnest|自闭式产蛋箱
tarnishing|[计] 锈污
tryptophane|色氨酸
tejano|(源于墨西哥和美国得克萨斯州交界地区的)特哈诺音乐[亦作 tejano]
tink|& n.(发)丁当声,(发)丁零声
tonsbergite|中碱正长岩
telolecithal|端卵黄的
tarentism|跳舞病
tetranychus|[医] 四爪螨属
tripping|轻快的
taraxacin|[医] 蒲公英素
traditionist|传统主义者
thereinto|进入其中, 往其中
thrasonical|自夸的, 夸口的, 吹牛的
tittie|[苏]姐妹
thyroidism|[医] 甲状腺剂中毒; 甲状腺机能亢进
troland|特罗兰得(网膜照度单位)
tureens|有盖的汤盘, 盛汤的碗( tureen的复数形式 )
tfr|[医][=total fertility rate]总生育率
tanna|(犹太教)坦拿(对犹太教口传律法集编注者的称谓)
taboparesis|[医] 脊髓痨[性]麻痹性痴呆
tranquillise|vi. (使)平静, (使)安定, (使)镇静, (使)安静
twisting|[医] 扭转, 捩转
translucence|半透明
transseptal|[医] 经中隔的, 横过中隔的
traduces|诋毁( traduce的第三人称单数 ); 诽谤; 违反; 背叛
trumpetlike|trumpet（喇叭）的变形
trowman|渔船船主
turio|具鳞根出条
tubate|[生]形成管的, 有管的
terrorizing|使恐怖( terrorize的现在分词 ); 使畏惧; 使用胁迫或暴力手段恐吓; 胁迫（某人做某事）
tenderise|[英国英语] = tenderize
tubicorn|(牛、羊等)有空角的,有洞角的
tenser|伸张梢; 紧张器; 张量
trimetrical|有三音步的, 斜方晶系的
thrifts|节俭, 节约( thrift的复数形式 ); 海石竹（海边野生植物, 花鲜艳, 呈粉红色）
tobogganer|平底雪橇 (toboggan的变形)
tricarinate|具三隆线的, 有三条脊龙骨的
triglochin|水麦冬属
tylosis|胼胝形成
tubed|把…装管（tube的过去式与过去分词形式）
traducianism|[宗]灵魂遗传论
tonsillotome|[医] 扁桃体刀
traprock|圈套, 陷阱, 诡计, 活板门, 存水弯, 汽水闸, (双轮)轻便马车
topline|背线(指动物身体上部从头至尾的外形线)
tib|(Tib)人名；(英)蒂布(教名Isabella的昵称)
typic|[计] 典型的, 正规的
tore|tear的过去式
thunderworm|佛罗里达锉尾蜥
tigrine|虎的,(尤指颜色)似虎的
toga|宽外袍, 参议员的职位
transferral|转移；调动；转换
toboggans|雪橇( toboggan的名词复数 )
trad|传统的
tendo|[医] 腱
tallish|稍高的, 身材较高的
tactical|战术的, 用兵上的, 策略的
tusseh|柞蚕, 野蚕, 柞蚕丝, 野蚕丝
tabby|平纹, 斑猫
typification|典型化, 代表, 象征
tightened|收紧( tighten的过去式和过去分词 ); （使）变紧; （使）绷紧; 加紧
telecon|电话会议, 电报会议
talker|说话的人, 饶舌者, 空谈者
taster|尝味道者, 审阅人, 试味仪
twiddler|专注于计算机的人
triterpenoid|[化]三萜系化合物
trimotored|有三个引擎的
trump|王牌, 法宝, 喇叭
trotter|小跑步的马, 快步走的人, 猪脚, (谑)脚
telegraphs|电报( telegraph的名词复数 ); 打电报; 电报机; （轮船的）车钟
tailplane|（飞机的）横尾翼, 水平安定面
trippings|(tripping 的复数) a. 轻快的
titanous|[化](含)亚钛的,(含)三价钛的
tabid|衰弱的, 憔粹的
tailbone|尾骨
tarboard|柏油纸板
trachomatous|[医] 沙眼的
taproots|（植物的）主根，直根( taproot的名词复数 )
trilogies|（小说、戏剧、音乐等的）三部曲( trilogy的复数形式 )
transhuman|超人的, 超越人类一切限制的
tamest|驯服的( tame的最高级 ); 温顺的; 沉闷的; 乏味的
technicism|技术主义
towerman|信号员
tammies|一种便帽（等于tam-o'-shanter）；棉经毛纬平纹呢（等于tammie）；滤汁布
twofold|两倍的, 两重的
trainman|列车员, 乘务员
tyroma|干酪样瘤
tailings|残渣( tailing的复数形式 ); 尾料; 嵌入墙中砖石突出部; 屑
tolls|（缓慢而有规律的）钟声( toll的名词复数 ); 通行费; 损耗; （战争、灾难等造成的）毁坏
traitors|卖国贼( traitor的复数形式 ); 叛徒; 背叛者; 背信弃义的人
teletyper|电传打字电报员
topochemical|局部化学; 局部化学
tellurion|地球仪
tentmaker|制造帐篷的人
truckman|卡车司机, 云梯消防车队队员
triskelion|(从中心点辐射的) 三曲枝图, 三曲腿图, 三曲臂图
thrummy|用纱头做的, 表面粗糙的
thiolic|thiol的变形
tyrannidae|[网络] 霸鶲科；雀形目霸鶲科；霸鹟科
trinitrate|三硝酸酯[盐]
trihedra|trihedron的复数形式
typhlomegaly|[医] 盲肠巨大, 巨盲肠
tuskegee|[地名] [美国] 塔斯基吉
tapioca|木薯淀粉
thonged|皮带；皮鞭；人字拖鞋
teleosts|(teleost 的复数) n.& adj.[鱼]硬骨鱼(的)
telsons|[昆] 尾节（节肢或甲壳动物的）
transfigures|改变…的外表, 美化, 使变得高尚或理想( transfigure的第三人称单数 )
tetanigenous|[医] 引起破伤风的; 致强直的
touchmark|(打在白镴制品上的)制造者印记
trinkum|<方> = trinket
terpilene|萜基烯
trays|盘子( tray的名词复数 ); 托盘; 文件盘; （各种用途的）浅塑料盒
trigonometry|三角学
thioalcohol|[化]硫醇
trioecious|[植]雌花雄花两性花异株的,单全异株的
terebratulid|穿孔贝
thortveitite|钪钇石
thyronine|甲腺原氨酸
tamers|(tamer 的复数) n. 驯服手
teapots|茶壶( teapot的复数形式 )
thered|(ther 的过去分词) abbr. therapy 治疗, 疗法; thermometer 温度计
tuskers|(tusker 的复数) n. 有长牙的动物
toxemic|[医]血毒症的, 患血毒症的
tressel|脚手架, 高架桥, 三角凳
taxidermal|剥制术的
tremelliform|胶质型的, 银耳状的
trituration|研碎, 捣碎, 磨碎, 研制, 研制法
turi|[地名] [肯尼亚、意大利、智利] 图里
textbookish|教科书式的, 呆板乏味的
trochanter|[医] 转子(解剖); 转节(昆虫)
tarsiidae|[医] 眼镜猴科
teethridge|牙槽嵴
tousle|使蓬乱, 弄乱
trisazo|三偶氮的
turaco|[鸟]蕉鹃(产于非洲热带森林)
trivet|三脚架
templelike|似神殿的,似庙宇的
tabaxir|[医] [天]竹黄
tentaculated|有触手[触角, 触须, 触毛]的
topiaries|灌木修剪法( topiary的名词复数 )
taxistand|na. “taxi rank”的变体
triumvirates|三头统治；三人执政
tarre|[计]一种压缩文件的扩展名
trachea|气管, 导管
tablature|[医] 颅骨分层
tabularized|把(事实、数字等)列成表格
tribrachic|tribrach的变形
tweeter|高频扬声器
termitaria|termitarium的复数
topstone|[地名] [美国] 托普斯通
twang|弦声, 砰然一声, 鼻音
toluifera|[医] 妥鲁香胶树属
thunbergia|[网络] 老鸦咀属；山牵牛属；老鸦嘴属
tecla|[人名] 特克拉
trinodal|三节的, 有三节的
tryworks|提炼鲸油的设备
tetrazyl|[化] 四唑基
turbos|涡轮（发动机）, 增压涡轮( turbo的复数形式 )
thusness|如此
taxidriver|计程车司机
tenontagra|腱痛风
taels|两；银两
triquinoyl|[化] 环己六酮; 三醌基
thirtyfold|三十倍的
telotype|电传打字电报机, 电传打字电报
tobogganing|乘橇作滑雪运动
twangle|,v.<罕> = twang
townswomen|townswoman的变形
therese|(Therese)人名；(德)特蕾泽
tradeswoman|女商人, 女零售商, 女店主
tussores|罗缎
tapachula|[地名] [墨西哥] 塔帕丘拉
trudellite|易潮石
tormentress|使痛苦的女人
thwartship|横越船的
tiebacks|(tieback 的复数) n. 窗帘钩
typecase|铅字盘
tasimeter|微压计( 测量热致膨胀微变化的电气仪表)
tipoffs|(tipoff 的复数) [电] 在玻璃泡抽真空后真空管隐藏的最后部份
travelog|旅行见闻讲座, 旅行记录片
thyroids|甲状腺( thyroid的复数形式 ); 甲状软骨; 甲状腺剂; 甲状腺粉
touting|兜售( tout的现在分词 ); 招揽; 侦查; 探听赛马情报
tritish|(字句、意见、引语等)有点陈腐的,有些落俗套的
talion|同态复仇法, 以牙还牙的报复法
toolholder|工具的把柄
trichite|[矿]毛晶(黑曜岩中所含的一种发束状微细结晶)
tautonymy|重名关系
tegmen|[医] 盖
trencher|挖沟者, 木盘
tingible|[医] 可染的
truncheons|警棍( truncheon的复数形式 ); （粗短的）棍子; 官杖; <旧>树干
thetis|[希腊神话]西蒂斯（海神Nereus的女儿）
tromps|践踏, 跺脚( tromp的第三人称单数 )
toothpowder|牙粉
theorems|（尤指数学）定理( theorem的复数形式 ); 命题; 原理; 原则
torrefied|焙, 烤( torrefy的过去式和过去分词 )
tangs|强烈的味道或气味（tang的复数形式）
tabooing|禁忌；禁止
trespasses|罪过( trespass的名词复数 ); 非法进入
toecaps|鞋尖装饰, 鞋头( toecap的复数形式 )
treasured|宝贵的, 珍贵的
threshing|打谷, 脱粒
topsman|工头, 绞刑执行人
thaliacea|[无脊椎] 海樽纲；樽海鞘纲
teemingness|teeming的变形
trichlorfon|[化]三氯磷酸酯,敌百虫(用作杀虫剂或驱虫剂)
thermogram|[医]温度记录图,温度自记图,温谱图
tetracycline|四环素
tombs|墓穴( tomb的复数形式 ); 墓葬; 墓群
tamas|[医]炎痛静，消炎灵[消炎镇痛药]
tribology|摩擦学
temerity|鲁莽, 蛮勇
theophagy|[宗]圣体领食
trigona|三角
thionate|[化]硫代硫酸盐
tacan|[空]塔康( 一种战术空中导航系统)
teachy|爱说教的
transgressed|超越( transgress的过去式和过去分词 ); 越过; 违反; 违背
temperer|回火工人, 鞣革工人, (灰泥、油彩的)调合人, 调合机, 缓和者, 抚慰者
trims|整理( trim的第三人称单数 ); 修剪; 装饰; 减少
topsoiling|表层土；上层土
tarantulite|白岗英石岩
tottie|[人名] 托蒂
thoracal|[解]胸的
tyrannosaurs|(tyrannosaur 的第三人称 -s形式) (=tyrannosaurus)[动]恐龙
teentsy|<口>很小的,小小的[变体]
tineoid|[动]谷蛾
teacups|茶杯( teacup的复数形式 ); 一杯之量
trichoclasis|[医] 脆发
testudinated|【动物】龟
tehee|interj. 嘻, 嘿
triaxiality|三轴(向),三维(元)
tubifex|[动]颤蚓,水丝蚓
trivialness|琐碎, 平凡
tabic|[医] 脊髓痨的
telephoto|远距照相的, 摄远的, 传真照相的
taxying|taxi 的现在分词
toxicity|毒性
toolhouse|工具房
timers|定时器( timer的复数形式 ); 点火调节装置; 时计; （比赛中用的）跑表
typifying|作为…的典型( typify的现在分词 ); 具有…的特征; 代表; 象征
transitively|及物地
tactilely|触觉地
transoms|(transom 的第三人称 -s形式) n. 横档, 横楣, 横梁
teetery|<美>摇晃的,不稳的
temporise|顺应时势, 迎合潮流, (为争取时间)拖延, 应付, 妥协
tempi|拍子, 发展速度
trampers|(tramper 的复数) [经] 不定期船
transiently|[医]adv.短暂地, 仅持续片刻地
teutophile|亲条顿的, 亲日耳曼的
tackiest|俗气的( tacky的最高级 ); 粘而未干的; 价廉的; <美><口>寒酸的
typy|(牲畜)具有品种特点的,生长标准的
tabernacular|临时房屋的
tinted|着色的, 带色彩的
tromba|<意>n.[音]小号,小喇叭
tam|便帽（苏格兰人戴的）
tanked|放在槽/箱/柜内的, (非正式)喝醉的
tumors|肿瘤（tumor的复数）
tourelle|滚动装置
toyshop|玩具店
triquinate|三出五裂的
thwacker|敲落工；敲击乐器；敲门棍
toughly|强硬地, 有粘性地, 固执地
turfite|赛马迷, 赛马通
tergites|(tergite 的复数) 背甲
twelves|十二, 12( twelve的复数形式 ); 十二的, 十二个的
tauri|Taurus 的所有格
turbinaceous|泥煤的
tricorporate|（纹章学用语）三体一头的
tomboyish|顽皮的, 放肆的
talmudist|<<塔木德经>>研究者, <<塔木德经>>编著者
tallness|高, 高度
transmuted|使变形, 使变质, 把…变成…( transmute的过去式和过去分词 )
trottoir|<法>人行道
thyrosis|[医]甲状腺机能病
taxameter|(出租汽车的)自动计费计,自动计程器
thyridium|明斑
trapaceae|[网络] 菱科；菱角科
threshed|打（麦等）( thresh的过去式和过去分词 ); 脱粒; 反复地做; 推敲
trephined|用环锯行手术( trephine的过去式和过去分词 )
tylotic|[医] 胼胝的
thiram|[药]二硫四甲秋兰姆,福美双,双硫胺甲酰(杀菌药)
tilden|蒂尔登(姓氏)
trued|整径
thumbhole|供塞入拇指的孔
terrene|土的, 土质的, 尘世的
tewer|tactical early warning 战术预先警报;战术远程警戒
torulus|隆凸, 小圆凸
tomtit|大山雀
tungstate|钨酸盐
trichostema|毛雄芯属
turbidimetry|[化] 比浊法
thickskin|皮厚的人; [比喻]厚脸皮；(对批评等)麻木不仁的人
togs|衣服
trabecular|[医] 小梁的, 柱的
takeoffs|（飞机的）起飞( takeoff的复数形式 ); <喻>（经济的）起飞; 开始; 起跳
tapotement|叩抚法, 轻叩式按摩法
tetract|四射海绵骨针
tokelau|[医]〔托克劳，南太平洋的环状珊瑚岛〕叠瓦癣：同tinea imbricata
teniente|[地名] [智利] 特尼恩特
tabernacled|临时房屋；帐篷；神龛
thyrsoidal|密锥花序的, 象密锥花序的
thickets|灌木丛( thicket的复数形式 ); 丛状物
triceps|三头肌
tivoli|蒂沃利（意大利中部城市）
tarantulid|舞蝎
throwdown|[俚]拒绝, 败北, 失败
triplanes|(triplane 的复数) n. 三翼飞机
timberland|森林, 林地
teeterboard|跷跷板
thins|（使）变稀薄, （使）变稀少, （使）变细( thin的第三人称单数 )
tshiluba|奇卢伯语(在刚果广大地区当作混合语使用的一种班图语)
tourer|游览车
tidology|潮汐学
takahe|[动] 南秧鸟(产于新西兰,不会飞)
tessarace|四面体的顶点
treas|treasure 财富; 财宝; treasury 财政部; 国库
tetryl|[化]特屈儿,三硝基苯甲硝胺(用作炸药或弹药)
torcs|(torc 的复数) n.(古代高卢人、布立吞人等戴的)金属饰环, 金属项圈, 金属颈环
turbocars|(turbocar 的复数) n.涡轮发动机汽车
truebred|纯种的, 有教养的
tollbook|软件名称
tinfoil|锡箔
theligonum|(=thelygonum)乳头中心点
tussling|打斗；扭打；剧烈的斗争
trichord|三弦乐器, 三弦琴
tourney|参加比赛
tervalence|[化] 三价
tuberculose|[植]长有小瘤的, [医]结核性的
tallow|油脂, 动物脂油
thwartships|(船)横向地
treasuries|（政府的）财政部( treasury的名词复数 ); 国库, 金库
terpinol|双缩松油醇
thallodic|原植体的, 叶状体的
thermochrosy|[医] 反射热线性, 选吸热线性
trephiner|[医] 环钻者
tertia|粗皮
thyrogenous|[医] 甲状腺原的, 甲状腺性的
thoriate|镀钍, 涂钍
thrumming|指弹( thrum的现在分词 ); 敲打; 乱弹; 轻敲
tenability|可防守性, 合理性
tody|鱼狗属的小鸟
tonoscope|音高镜(歌唱演员能即刻看出自己音高偏差的一种声学仪器)
tactlessness|粗鲁, 笨拙
twere|炉壁间, 鼓风管
townwards|往城里
transocular|[医] 经眼的
triglyphic|triglyph的变形
tetrigid|菱蝗
tacheometer|准距仪
tameness|驯服, 温顺
tristfulness|tristful的变形
topsoils|(topsoil 的复数) n. 上层土, 表层土
trefoiled|做成三叶形的, 有三叶模饰的
transpiring|（事实, 秘密等）被人知道( transpire的现在分词 ); 泄露; 显露; 发生
trichina|旋毛虫
titanic|四价钛的
teratology|畸形学, 神怪故事集
tristful|悲哀的, 忧郁的
trilithon|巨石牌坊
tusser|柞蚕, 野蚕, 柞蚕丝, 野蚕丝
tuchun|<汉>n.督军(官名, 民国初年一省的最高军事长官兼行政长官)
tabashir|竹节石
tien|天津饭；天山
torma|上唇根
triangularis|[医] 三角的
tetraploid|四倍体的
tonophant|[医] 音振动描记器
theromorph|[医] 兽形部分, 兽形结构
teepees|(teepee 的复数) 超视距雷达
totalising|(totalise 的现在分词) vt. 计算...的总数
trochar|[医]套管针
tetania|手足抽搐
tolbutamide|[药]甲苯磺丁脲,甲糖宁(一种治糖尿病药)
thruster|向上钻营的人, 推进器
tetrad|四元组, 四个一组, 四分染色体
typhus|斑疹伤寒
towmond|<苏格兰>12个月,1年
tetrodotoxin|[生化]河豚毒素
titoist|,adj. Titoism的变形
tethering|用绳子拴住（牲畜）( tether的现在分词 )
trichechidae|海牛科
terrorised|(terrorise 的过去分词) vt. 使恐怖, 恐吓, 威胁, 胁迫
tyburn|泰伯恩(伦敦的)刑场
textualist|墨守原文者, 精通原文者
talmas|旧式大披肩；宽大短外衣
tetrapteran|有四翅的
teresina|特雷西纳[巴西东北部城市]
technics|工艺学
theomancy|求神问卜(术)
traits|特性, 特质, 性格（trait的复数）
transgender|变性人
trifolium|[植]三叶草
tirl|使(门锁等)发出格格声; 使旋转
tawing|（明矾）硝制
tidewater|潮水, 有潮水域, 低洼海岸
tucks|塞进( tuck的第三人称单数 ); 翻折; 盖住; 卷起
taffetas|(taffeta 的复数) [化] 塔夫绸
tamponed|（妇女月经时用的）卫生棉塞( tampon的过去式和过去分词 )
tappets|[机] 挺杆；梃杆；[机] 凸轮从动件
temptations|诱惑, 引诱( temptation的复数形式 ); 诱惑物
tautophony|同音反复
trypaflavine|[化] 吖啶黄素
tobias|托拜厄斯(男子名)
theorizer|理论家, 老是讲理论的人
ter|领土（territory）；梯田（terrace）；土地的（territorial）
tartaric|酒石的, 似酒石的, 含有酒石的
topiarian|修剪成装饰形式的；修剪成形的 (topiary的变形)
triremes|(trireme 的复数) n. 三列桨船
tramcar|有轨电车, 矿车
tyr|[化] 酪氨酸
torchlight|火炬之光
tilmus|摸空, 捉空摸床
tryptase|类胰蛋白酶
throbbing|跳动的, 悸动的, 抽动的, 震动的, 颤动的
tepidly|不冷不热地（tepid的副词形式）
tasmanite|含硫树脂
teleost|& adj.[鱼]硬骨鱼(的)
triteleia|三全属
terran|地球人；人族
trapezia|[数]梯形
triangulator|三角测量员, 三角仪
teel|(=sesame)[植]芝麻
tibby|蒂比
theorematist|定理；原理 (theorem的变形)
toat|台刨把手
teutonize|使条顿化
thamnophilus|[网络] 蚁鵙属；蓝灰蚁鵙
trepanning|开[套]孔, 打眼, 穿孔(试验)
trit|[计] 三进制数位
transpond|转发
tensimeter|(蒸气)张力计
tabebuia|(南美图皮语)蚁木
toryhillite|多霞纳长正长岩
tacticians|战术家, 策士( tactician的复数形式 )
traded|交易；贸易（trade的过去分词形式）
toughs|粗暴的人, 暴徒, 恶棍( tough的复数形式 )
trainmen|车车务员，乘务员( trainman的名词复数 )
tallith|犹太教男人晨祷时的披巾
thiobacillus|[微]产硫酸杆菌,硫杆菌
twitch|急拉, 抽搐, 阵痛
transferring|转移, 传递
