old|旧的
occident|西方, 欧美, 西欧诸国, 西部
oximation|[化] 肟化; 肟化作用
ostensory|圣体发光(一种圣器)
overplease|使过分高兴
outmost|最外面的
overstretch|vt 延伸过长
orogenesis|[地] 山岳之形成
overdress|穿得过分讲究, (使)过度装饰
ossifies|骨化, 硬化, 使僵化( ossify的第三人称单数 )
overcut|(电化学加工上的)阴极外表面与加工部件切削面的间距
organicity|[商业]组织性
orchialgia|[医]睾丸痛
ogdoad|数目字八
obscenity|淫秽, 淫秽的语言(或行为、动作), 可憎的事
oenology|酿酒学, 葡萄酒工艺学
outspoke|大胆、直率地说, 在讲话上胜过( outspeak的过去式 )
oxytocin|催产素
oscularity|oscular的变形
oaritis|[医] 卵巢炎
overjoying|使大喜( overjoy的现在分词 )
oxygenates|以氧处理, 氧化( oxygenate的第三人称单数 )
outmarry|使(自己)在婚姻上高攀
oozooid|卵生体
olearia|[网络] 树紫苑属植物；雏菊布什
overdrape|厚窗帘
obelisk|方尖塔, 剑号, 疑问记号
ocker|<澳俚> n.无教养的澳大利亚人,粗鲁的澳大利亚人
overarm|上手传球的, 单臂出水的
orangutan|猩猩
ogreism|食人魔鬼, 怪物（童话等中的）；令人害怕的人 (ogre的变形)
obdormition|[医] [神经]受压性麻木
operationism|操作主义
opsonist|[医] 调理素专家
oometer|量蛋器
oxydasic|[医] 氧化酶的
oleography|平版复印油画术
oer|光标记阅读机
overreach|扩展...以上, 过度伸张, 走过头
overdominant|overdominance的变形
onychoptosis|[医] 甲脱落
overstrung|绷得太紧的, 神经过敏的, 紧张过度的
overflies|飞跃( overfly的第三人称单数 )
opuscula|opusculum 的复数
octaves|<音>八度音( octave的复数形式 ); 八度音阶; 高八度音; 八度和音
ola|occipito-laeva anterior 左前枕骨
orbited|在…轨道上运行, 环绕轨道运行( orbit的过去式和过去分词 )
onanists|(onanist 的复数) n. 性交中断（为防受精而中断性交）；手淫 (onanism的变形)
omits|省略( omit的第三人称单数 ); 遗漏; 删掉; 忘记做
osteopedion|[医] 胎儿石化, 石胎
ovipositor|产卵器
overbodice|(穿在女式连衣裙外的)小背心
okrug|[地名] 区（俄语）
oolite|[地质]鱼卵石, 鱼卵状石灰石,鲕粒岩
organismic|[医]有机体的, 生物的
overwood|上层木; 上木
omodynia|肩痛
outgeneral|以优越的战略战术战胜, 在领导才能上胜过
oceanid|俄刻阿尼得(大洋女神)
owler|走私者, 走私船
oryx|大羚羊
omani|阿曼的
offstage|台后, 幕内
overrider|保险杠挡块; 转分手续费
oversupplies|过度供给（oversupply的第三人称单数形式）
overfilled|把…装得溢出( overfill的过去式和过去分词 )
outdid|outdo的过去式
outleaped|向外跳, 跃出…之外( outleap的过去式和过去分词 )
orchestrates|把（乐曲）编成管弦乐( orchestrate的名词复数 ); 和谐地安排, 精心策划
ochna|[网络] 金莲木属；桂叶黄梅；金莲木科金莲木属
overpeer|高度在...之上
obligative|专性的
outfoxes|<非正>智胜, 以计谋胜过, 比…更狡猾( outfox的第三人称单数 )
overlooker|监工, 工头
obliterator|删除因子；混沌毁灭者
oophoritis|[医]卵巢炎
overeats|（使）吃得过多( overeat的第三人称单数 )
optionee|取得优先买卖权的人
orthoepic|[语]正音法的, 发音正确的
ovogonium|卵原细胞
orangeman|奥兰治党员, 橙带党员
overscoring|在字句上或中间画线
opposable|可反对的, 可对抗的, 可对立的
ovariotomist|[医]卵巢切除专家
opah|[鱼]月鱼(温带海产的美味食用大鱼)
outdates|使过时( outdate的第三人称单数 )
odiferous|[网络] 有味的
overdried|过干的
oxalamide|[化] 草酰胺; 乙二酰胺
outmarches|比…前进更快, 追过( outmarch的第三人称单数 )
octocorallia|八射珊瑚亚纲
overshoots|超过( overshoot的第三人称单数 ); 言过其实, 夸张
odontoclast|[生]破牙质细胞
outmaneuver|对(敌手)机动制胜, 智胜, 在谋略上胜过(敌人)
overgreedy|[网络] 过分的
oerlikon|厄利康高射炮
ovenbird|灶鸟
ornamented|花式字体的
overfamiliar|[网络] 过于陌生
oblast|州(苏联各加盟共和国的行政区划名称)
operettist|小(或轻)歌剧作曲家
oreodont|岳齿兽
oogamy|[生]卵式生殖,异配生殖
ocelots|(ocelot 的第三人称 -s形式) n. 豹猫, 豹猫毛皮
outraged|义愤填膺的；愤慨的, 气愤的
orthodontics|[医] 正牙学
outplace|取代, 挤出, [美](在正式解雇之前)帮助...谋 新职
osculant|固着的, 接吻的, 中间型的
overhand|超手的, 肩上的
obscurantist|蒙昧主义的
onionskin|薄光泽纸, 洋葱皮
omentectomy|[医] 网膜切除术
outplaying|胜过, 击败( outplay的现在分词 )
obstet|obstetric 产科（学）的; obstetrical 产科的; obstetrics 产科学; obstetrician 产科医师
outwardness|客观存在, 对周围世界的关心
oppositeness|反对
overshoulder|回头, 转过头来
overserious|[网络] 监督
organophyly|器官的系统发育
overearnest|过于认真的,过于热切的
overraked|浪过艏部（海浪越过船的艏部）
orograph|山形仪, 断面绘图头
osmometry|渗透压力测定法
overtures|主动的表示, 提议
overseership|监督；工头 (overseer的变形)
opsonic|调理素的
ombrophilous|[医]喜雨的
oligochaeta|[医] 寡毛目
orthostyle|[建]列柱式柱廊
ornamenting|装饰, 点缀, 美化( ornament的现在分词 )
organotropic|[生理]亲器官的
otocranium|[医] 耳颅
orthometric|正交的
outraging|引起…的义愤, 激怒( outrage的现在分词 )
oestrus|发情, 发情周期
organelle|细胞器
orbits|轨道( orbit的名词复数 ); 势力范围
onyxitis|[医] 甲床炎
oecumenic|[网络] o enic
odontogenic|[医] 生牙的, 牙原性的
overrefines|对…作过分的精炼（overrefine的第三人称单数形式）
ontogenesis|个体发生, 个体发育
opsonized|使（细菌）易受调理素的作用, 调理作用( opsonize的过去式和过去分词 )
obsequy|葬礼
oscula|osculum 的复数
orotund|朗朗的, 夸大的, 做作的
orthotropal|直生的
omnivora|[pl.][集合词]杂食动物
ogling|（向…）抛媚眼, 送秋波( ogle的现在分词 )
overflush|酸化顶替液
oenone|[希神]俄诺涅(特洛伊王子Paris初娶的山林水泽中女神)
obstetrist|[医] 产科医师
orphrey|精致刺绣
overleapt|overleap的过去式和过去分词
oinks|<美>（猪的）呼噜声( oink的第三人称单数 )
osteoplasty|[医]骨整形术,骨成形术
orchidomania|爱兰癖
omophagy|(尤指肉的)生食
ostrya|[网络] 铁木属
outdrink|喝酒喝得比…多, 比…更会喝酒
oppositional|反对的, 对抗的
odontologist|牙医师
oleaceous|[植]木犀科的
origenism|奥利金（埃及的亚力山大的作家、基督教神学家） (Origen的变形)
omnipotency|全能性
outstretched|伸开的, 扩张的, 延伸的
overwater|水上的,越过水域的
ordinaire|平常的,普通的,通常的,惯常的
overrides|越控( override的第三人称单数 ); （以权力）否决; 优先于; 比…更重要
okanagan|奥肯那根（地名）
ostracon|古希腊公民投票放逐某人时书写被放逐者姓名的陶片
octonal|八进制的
overnighter|短途旅行用的小件行李
